State,College,Major,Students
alaska,university-of-alaska-southeast,Liberal Arts and Humanities,61
alaska,university-of-alaska-southeast,Business,54
alaska,university-of-alaska-southeast,Police and Criminal Science,36
alaska,university-of-alaska-southeast,Nursing Assistant,34
alaska,university-of-alaska-southeast,Welding,22
alaska,university-of-alaska-southeast,Wildlife and Fisheries Management,22
alaska,university-of-alaska-southeast,Elementary Education,20
alaska,university-of-alaska-southeast,Diesel Mechanics,19
alaska,university-of-alaska-southeast,Social Science Research Methods,17
alaska,university-of-alaska-southeast,Accounting Technician and Bookkeeping,13
