State,College,Major,Students
arizona,arizona-state-university,Business Support Services,791
arizona,arizona-state-university,Business,644
arizona,arizona-state-university,Biology,597
arizona,arizona-state-university,Psychology,465
arizona,arizona-state-university,Finance,455
arizona,arizona-state-university,Liberal Arts and Humanities,449
arizona,arizona-state-university,Marketing,440
arizona,arizona-state-university,Management Sciences and Information Systems,387
arizona,arizona-state-university,Computer Science,383
arizona,arizona-state-university,Political Science and Government,364
arizona,university-of-arizona,Psychology,472
arizona,university-of-arizona,Liberal Arts and Humanities,351
arizona,university-of-arizona,Physiology and Pathology,294
arizona,university-of-arizona,Communications,284
arizona,university-of-arizona,Public Health,267
arizona,university-of-arizona,Economics,244
arizona,university-of-arizona,Management Sciences and Information Systems,225
arizona,university-of-arizona,Finance,211
arizona,university-of-arizona,Political Science and Government,211
arizona,university-of-arizona,Marketing,203
arizona,embry-riddle-aeronautical-university---prescott,Aerospace Engineering,114
arizona,embry-riddle-aeronautical-university---prescott,Aeronautics and Aviation Technology,96
arizona,embry-riddle-aeronautical-university---prescott,International Relations,75
arizona,embry-riddle-aeronautical-university---prescott,Mechanical Engineering,35
arizona,embry-riddle-aeronautical-university---prescott,Cyber/Computer Forensics and Counterterrorism,32
arizona,embry-riddle-aeronautical-university---prescott,Business,29
arizona,embry-riddle-aeronautical-university---prescott,Professional Pilot,15
arizona,embry-riddle-aeronautical-university---prescott,Electrical Engineering,12
arizona,embry-riddle-aeronautical-university---prescott,Air Transportation,8
arizona,embry-riddle-aeronautical-university---prescott,Computer Hardware Engineering,8
arizona,arizona-state-university---downtown-phoenix-campus,Criminal Justice and Law Enforcement Administration,293
arizona,arizona-state-university---downtown-phoenix-campus,Physical Education Teaching and Coaching,273
arizona,arizona-state-university---downtown-phoenix-campus,Nursing,238
arizona,arizona-state-university---downtown-phoenix-campus,Journalism,232
arizona,arizona-state-university---downtown-phoenix-campus,"Foods, Nutrition, and Wellness Studies",198
arizona,arizona-state-university---downtown-phoenix-campus,Kinesiology and Exercise Science,169
arizona,arizona-state-university---downtown-phoenix-campus,Social Work and Youth Services,167
arizona,arizona-state-university---downtown-phoenix-campus,Health Service Preparatory Studies,152
arizona,arizona-state-university---downtown-phoenix-campus,Hospitality and Tourism Management,133
arizona,arizona-state-university---downtown-phoenix-campus,Public Policy Analysis,95
arizona,arizona-state-university---west-campus,Business Support Services,176
arizona,arizona-state-university---west-campus,Psychology,137
arizona,arizona-state-university---west-campus,Biology,94
arizona,arizona-state-university---west-campus,High School Education,66
arizona,arizona-state-university---west-campus,Communications,60
arizona,arizona-state-university---west-campus,Social Work and Youth Services,45
arizona,arizona-state-university---west-campus,International Business,41
arizona,arizona-state-university---west-campus,Chemistry,33
arizona,arizona-state-university---west-campus,Liberal Arts and Humanities,33
arizona,arizona-state-university---west-campus,Criminal Justice and Law Enforcement Administration,32
arizona,northern-arizona-university,Liberal Arts and Humanities,652
arizona,northern-arizona-university,Nursing,558
arizona,northern-arizona-university,Elementary Education,356
arizona,northern-arizona-university,Business,333
arizona,northern-arizona-university,Criminology,288
arizona,northern-arizona-university,Psychology,286
arizona,northern-arizona-university,Hospitality and Tourism Management,251
arizona,northern-arizona-university,Public Health,249
arizona,northern-arizona-university,Finance,241
arizona,northern-arizona-university,Biomedical Sciences and Molecular Medicine,226
arizona,gateway-community-college---phoenix,Nursing,250
