State,College,Major,Students
alabama,auburn-university,Health Science,305
alabama,auburn-university,Business,265
alabama,auburn-university,Business,265
alabama,auburn-university,Marketing,221
alabama,auburn-university,Physical Therapy,215
alabama,auburn-university,Mechanical Engineering,208
alabama,auburn-university,Accounting,180
alabama,auburn-university,Nursing,178
alabama,auburn-university,Psychology,166
alabama,auburn-university,Management,162
alabama,university-of-alabama---birmingham,Nursing,346
alabama,university-of-alabama---birmingham,Psychology,176
alabama,university-of-alabama---birmingham,Business,164
alabama,university-of-alabama---birmingham,Management,113
alabama,university-of-alabama---birmingham,Education,113
alabama,university-of-alabama---birmingham,Biology,110
alabama,university-of-alabama---birmingham,Accounting,104
alabama,university-of-alabama---birmingham,Communication,101
alabama,university-of-alabama---birmingham,Humanities,99
alabama,university-of-alabama---birmingham,Health Science,99
alabama,the-university-of-alabama,Marketing,493
alabama,the-university-of-alabama,Business,467
alabama,the-university-of-alabama,Business,399
alabama,the-university-of-alabama,Nursing,377
alabama,the-university-of-alabama,Mechanical Engineering,342
alabama,the-university-of-alabama,Psychology,303
alabama,the-university-of-alabama,Accounting,301
alabama,the-university-of-alabama,Communication,262
alabama,the-university-of-alabama,Management,257
alabama,the-university-of-alabama,Education,222
alabama,samford-university,Pharmacy,124
alabama,samford-university,Nursing,118
alabama,samford-university,Business,51
alabama,samford-university,Communication,47
alabama,samford-university,Marketing,41
alabama,samford-university,Health Science,34
alabama,samford-university,Business,33
alabama,samford-university,Accounting,30
alabama,samford-university,Psychology,30
alabama,samford-university,Education,28
alabama,the-university-of-alabama-in-huntsville,Nursing,208
alabama,the-university-of-alabama-in-huntsville,Mechanical Engineering,106
alabama,the-university-of-alabama-in-huntsville,Communication,100
alabama,the-university-of-alabama-in-huntsville,Biology,87
alabama,the-university-of-alabama-in-huntsville,Business,85
alabama,the-university-of-alabama-in-huntsville,Aerospace Engineering,73
alabama,the-university-of-alabama-in-huntsville,Electrical Engineering,61
alabama,the-university-of-alabama-in-huntsville,Management,60
alabama,the-university-of-alabama-in-huntsville,Visual Arts,44
alabama,the-university-of-alabama-in-huntsville,Electrical Engineering,42
alabama,birmingham-southern-college,Business,70
alabama,birmingham-southern-college,Biology,39
alabama,birmingham-southern-college,Psychology,37
alabama,birmingham-southern-college,Accounting,24
alabama,birmingham-southern-college,Education,19
alabama,birmingham-southern-college,History and World Studies,19
alabama,birmingham-southern-college,Math,18
alabama,birmingham-southern-college,English,14
alabama,birmingham-southern-college,Communication,12
alabama,birmingham-southern-college,Chemistry,11
alabama,university-of-mobile,Business,30
alabama,university-of-mobile,Nursing,30
alabama,university-of-mobile,Physical Therapy,21
alabama,university-of-mobile,Religion,20
alabama,university-of-mobile,Education,18
alabama,university-of-mobile,Humanities,18
alabama,university-of-mobile,Religion,17
alabama,university-of-mobile,Psychology,13
alabama,university-of-mobile,Biology,12
alabama,university-of-mobile,Communication,11
alabama,wallace-community-college---dothan,Humanities,447
alabama,wallace-community-college---dothan,Nursing,177
alabama,wallace-community-college---dothan,Child Development,132
alabama,wallace-community-college---dothan,Medical Technicians,104
alabama,wallace-community-college---dothan,Nursing,100
alabama,wallace-community-college---dothan,Trade Mechanical Engineering,66
alabama,wallace-community-college---dothan,Trade Cosmetics,51
alabama,wallace-community-college---dothan,Trade Mechanical Engineering,44
alabama,wallace-community-college---dothan,Business,24
alabama,wallace-community-college---dothan,Trade Mechanical Engineering,23
alaska,university-of-alaska-southeast,Humanities,61
alaska,university-of-alaska-southeast,Business,54
alaska,university-of-alaska-southeast,Criminal Justice,36
alaska,university-of-alaska-southeast,Nursing,34
alaska,university-of-alaska-southeast,Trade Mechanical Engineering,22
alaska,university-of-alaska-southeast,Environmental Science,22
alaska,university-of-alaska-southeast,Education,20
alaska,university-of-alaska-southeast,Trade Mechanical Engineering,19
alaska,university-of-alaska-southeast,Anthropology,17
alaska,university-of-alaska-southeast,Accounting,13
arizona,arizona-state-university,Business,791
arizona,arizona-state-university,Business,644
arizona,arizona-state-university,Biology,597
arizona,arizona-state-university,Psychology,465
arizona,arizona-state-university,Business,455
arizona,arizona-state-university,Humanities,449
arizona,arizona-state-university,Marketing,440
arizona,arizona-state-university,Management,387
arizona,arizona-state-university,Computer Engineering,383
arizona,arizona-state-university,Law,364
arizona,university-of-arizona,Psychology,472
arizona,university-of-arizona,Humanities,351
arizona,university-of-arizona,Health Science,294
arizona,university-of-arizona,Communication,284
arizona,university-of-arizona,Health Science,267
arizona,university-of-arizona,Economics,244
arizona,university-of-arizona,Management,225
arizona,university-of-arizona,Business,211
arizona,university-of-arizona,Law,211
arizona,university-of-arizona,Marketing,203
arizona,embry-riddle-aeronautical-university---prescott,Aerospace Engineering,114
arizona,embry-riddle-aeronautical-university---prescott,Aerospace Engineering,96
arizona,embry-riddle-aeronautical-university---prescott,International Relations,75
arizona,embry-riddle-aeronautical-university---prescott,Mechanical Engineering,35
arizona,embry-riddle-aeronautical-university---prescott,Criminal Justice,32
arizona,embry-riddle-aeronautical-university---prescott,Business,29
arizona,embry-riddle-aeronautical-university---prescott,Trade Aerospace,15
arizona,embry-riddle-aeronautical-university---prescott,Electrical Engineering,12
arizona,embry-riddle-aeronautical-university---prescott,Trade Aerospace,8
arizona,embry-riddle-aeronautical-university---prescott,Electrical Engineering,8
arizona,arizona-state-university---downtown-phoenix-campus,Criminal Justice,293
arizona,arizona-state-university---downtown-phoenix-campus,Education,273
arizona,arizona-state-university---downtown-phoenix-campus,Nursing,238
arizona,arizona-state-university---downtown-phoenix-campus,Communication,232
arizona,arizona-state-university---downtown-phoenix-campus,Health Science,198
arizona,arizona-state-university---downtown-phoenix-campus,Physical Therapy,169
arizona,arizona-state-university---downtown-phoenix-campus,Social Work,167
arizona,arizona-state-university---downtown-phoenix-campus,Health Science,152
arizona,arizona-state-university---downtown-phoenix-campus,Management,133
arizona,arizona-state-university---downtown-phoenix-campus,Law,95
arizona,arizona-state-university---west-campus,Business,176
arizona,arizona-state-university---west-campus,Psychology,137
arizona,arizona-state-university---west-campus,Biology,94
arizona,arizona-state-university---west-campus,Education,66
arizona,arizona-state-university---west-campus,Communication,60
arizona,arizona-state-university---west-campus,Social Work,45
arizona,arizona-state-university---west-campus,Business,41
arizona,arizona-state-university---west-campus,Chemistry,33
arizona,arizona-state-university---west-campus,Humanities,33
arizona,arizona-state-university---west-campus,Criminal Justice,32
arizona,northern-arizona-university,Humanities,652
arizona,northern-arizona-university,Nursing,558
arizona,northern-arizona-university,Education,356
arizona,northern-arizona-university,Business,333
arizona,northern-arizona-university,Criminal Justice,288
arizona,northern-arizona-university,Psychology,286
arizona,northern-arizona-university,Management,251
arizona,northern-arizona-university,Health Science,249
arizona,northern-arizona-university,Business,241
arizona,northern-arizona-university,Health Science,226
arizona,gateway-community-college---phoenix,Nursing,250
arizona,gateway-community-college---phoenix,Trade Mechanical Engineering,184
arizona,gateway-community-college---phoenix,Humanities,161
arizona,gateway-community-college---phoenix,Visual Arts,157
arizona,gateway-community-college---phoenix,Nursing,122
arizona,gateway-community-college---phoenix,Nursing,93
arizona,gateway-community-college---phoenix,Business,78
arizona,gateway-community-college---phoenix,Medical Technicians,60
arizona,gateway-community-college---phoenix,Medical Technicians,37
arizona,gateway-community-college---phoenix,Medical Technicians,36
arizona,eastern-arizona-college,Trade Mechanical Engineering,315
arizona,eastern-arizona-college,Humanities,307
arizona,eastern-arizona-college,Business,100
arizona,eastern-arizona-college,Trade Electrical,100
arizona,eastern-arizona-college,Trade Mechanical Engineering,93
arizona,eastern-arizona-college,Business,90
arizona,eastern-arizona-college,Management,73
arizona,eastern-arizona-college,Medical Technicians,69
arizona,eastern-arizona-college,Accounting,58
arizona,eastern-arizona-college,Nursing,54
arizona,arizona-state-university---polytechnic-campus,Mechanical Engineering,207
arizona,arizona-state-university---polytechnic-campus,Business,136
arizona,arizona-state-university---polytechnic-campus,Humanities,123
arizona,arizona-state-university---polytechnic-campus,Biology,98
arizona,arizona-state-university---polytechnic-campus,Aerospace Engineering,70
arizona,arizona-state-university---polytechnic-campus,Business,64
arizona,arizona-state-university---polytechnic-campus,Computer Engineering,64
arizona,arizona-state-university---polytechnic-campus,Media Arts,63
arizona,arizona-state-university---polytechnic-campus,Education,27
arizona,arizona-state-university---polytechnic-campus,Education,25
arizona,scottsdale-community-college,Humanities,424
arizona,scottsdale-community-college,Visual Arts,387
arizona,scottsdale-community-college,Business,183
arizona,scottsdale-community-college,Nursing,112
arizona,scottsdale-community-college,Performance Arts,78
arizona,scottsdale-community-college,Physics,69
arizona,scottsdale-community-college,Earth and Space,59
arizona,scottsdale-community-college,Culinary,32
arizona,scottsdale-community-college,Communication,24
arizona,scottsdale-community-college,Architecture,24
arizona,paradise-valley-community-college,Visual Arts,571
arizona,paradise-valley-community-college,Humanities,539
arizona,paradise-valley-community-college,Medical Technicians,230
arizona,paradise-valley-community-college,Business,151
arizona,paradise-valley-community-college,Earth and Space,84
arizona,paradise-valley-community-college,Physics,84
arizona,paradise-valley-community-college,Military,67
arizona,paradise-valley-community-college,Nursing,53
arizona,paradise-valley-community-college,Management,16
arizona,paradise-valley-community-college,Education,14
arkansas,hendrix-college,Psychology,47
arkansas,hendrix-college,Biology,34
arkansas,hendrix-college,Biology,32
arkansas,hendrix-college,Economics,24
arkansas,hendrix-college,English,24
arkansas,hendrix-college,Health Science,18
arkansas,hendrix-college,Environmental Science,15
arkansas,hendrix-college,Accounting,13
arkansas,hendrix-college,History and World Studies,13
arkansas,hendrix-college,Law,13
arkansas,university-of-arkansas,Marketing,345
arkansas,university-of-arkansas,Business,327
arkansas,university-of-arkansas,Nursing,292
arkansas,university-of-arkansas,Biology,233
arkansas,university-of-arkansas,Management,227
arkansas,university-of-arkansas,Business,206
arkansas,university-of-arkansas,Accounting,183
arkansas,university-of-arkansas,Communication,179
arkansas,university-of-arkansas,Education,175
arkansas,university-of-arkansas,Psychology,167
arkansas,ouachita-baptist-university,Business,32
arkansas,ouachita-baptist-university,Biology,30
