Major,Students
Health Science,21967
Business,103693
Marketing,25663
Physical Therapy,13829
Mechanical Engineering,25055
Accounting,18652
Nursing,49980
Psychology,69621
Management,14418
Education,19912
Biology,45844
Communication,47346
Humanities,60375
Pharmacy,541
Aerospace Engineering,3414
Electrical Engineering,5618
Visual Arts,4233
History and World Studies,2924
Math,5949
English,6835
Chemistry,1062
Religion,2920
Child Development,1480
Medical Technicians,6716
Trade Mechanical Engineering,11086
Trade Cosmetics,552
Criminal Justice,18618
Environmental Science,4229
Anthropology,11299
Computer Engineering,22426
Law,17667
Economics,26707
International Relations,4148
Trade Aerospace,750
Social Work,5049
Trade Electrical,1913
Media Arts,2732
Performance Arts,2826
Physics,572
Earth and Space,2491
Culinary,2098
Architecture,1285
Military,840
Agriculture and Animal Sciences,4208
Chemical Engineering,2105
Bioengineering,1673
Dental,454
Foreign Languages,591
Music,629
Medical Recording,407
Trade Transportation,683
Landscaping,461
Physician's Assistant,55
