State,College,Major,Students
kentucky,university-of-kentucky,Marketing,362
kentucky,university-of-kentucky,Business,319
kentucky,university-of-kentucky,Nursing,272
kentucky,university-of-kentucky,Psychology,263
kentucky,university-of-kentucky,Biology,245
kentucky,university-of-kentucky,Communications,234
kentucky,university-of-kentucky,Finance,215
kentucky,university-of-kentucky,Mechanical Engineering,184
kentucky,university-of-kentucky,Information Science,177
kentucky,university-of-kentucky,Physical Education Teaching and Coaching,173
