State,College,Major,Students
maryland,johns-hopkins-university,Public Health,165
maryland,johns-hopkins-university,Neuroscience and Neurobiology,143
maryland,johns-hopkins-university,Cellular Biology,121
maryland,johns-hopkins-university,Economics,113
maryland,johns-hopkins-university,Bioengineering and Biomedical Engineering,99
maryland,johns-hopkins-university,Mathematics,92
maryland,johns-hopkins-university,Information Science,88
maryland,johns-hopkins-university,Chemical Engineering,87
maryland,johns-hopkins-university,International Relations,86
maryland,johns-hopkins-university,Biology,81
maryland,university-of-maryland---college-park,Computer Science,670
maryland,university-of-maryland---college-park,Biology,502
maryland,university-of-maryland---college-park,Economics,491
maryland,university-of-maryland---college-park,Information Science,416
maryland,university-of-maryland---college-park,Public Health,372
maryland,university-of-maryland---college-park,Finance,356
maryland,university-of-maryland---college-park,Psychology,314
maryland,university-of-maryland---college-park,Mechanical Engineering,312
maryland,university-of-maryland---college-park,Political Science and Government,310
maryland,university-of-maryland---college-park,Communications,304
maryland,loyola-university-maryland,Business,291
maryland,loyola-university-maryland,Communications,97
maryland,loyola-university-maryland,Accounting,71
maryland,loyola-university-maryland,Psychology,66
maryland,loyola-university-maryland,Biology,56
maryland,loyola-university-maryland,Speech Language Pathology,40
maryland,loyola-university-maryland,Liberal Arts and Humanities,38
maryland,loyola-university-maryland,Political Science and Government,38
maryland,loyola-university-maryland,Social Sciences,35
maryland,loyola-university-maryland,Engineering,26
maryland,the-university-of-baltimore,Business,223
maryland,the-university-of-baltimore,Police and Criminal Science,63
maryland,the-university-of-baltimore,Forensic Science and Technology,48
maryland,the-university-of-baltimore,Healthcare Management,48
maryland,the-university-of-baltimore,"Animation, Video Graphics and Special Effects",44
maryland,the-university-of-baltimore,Digital Communication and Media/Multimedia,28
maryland,the-university-of-baltimore,Human Services,26
maryland,the-university-of-baltimore,Psychology,25
maryland,the-university-of-baltimore,English,22
maryland,the-university-of-baltimore,Information Science,22
maryland,towson-university,Business,535
maryland,towson-university,Psychology,376
maryland,towson-university,Communications,341
maryland,towson-university,Nursing,271
maryland,towson-university,Social Sciences,233
maryland,towson-university,Biology,200
maryland,towson-university,Kinesiology and Exercise Science,180
maryland,towson-university,Information Technology,157
maryland,towson-university,Accounting,151
maryland,towson-university,Computer Science,142
maryland,salisbury-university,Psychology,147
maryland,salisbury-university,Communications,138
maryland,salisbury-university,Social Work and Youth Services,131
maryland,salisbury-university,Kinesiology and Exercise Science,126
maryland,salisbury-university,Information Science,108
maryland,salisbury-university,Business,107
maryland,salisbury-university,Biology,104
maryland,salisbury-university,Elementary Education,95
maryland,salisbury-university,Marketing,92
maryland,salisbury-university,Nursing,89
