State,College,Major,Students
minnesota,carleton-college,International Relations,55
minnesota,carleton-college,Computer Science,53
minnesota,carleton-college,Biology,46
minnesota,carleton-college,Research and Experimental Psychology,39
minnesota,carleton-college,Mathematics,32
minnesota,carleton-college,Chemistry,27
minnesota,carleton-college,Economics,24
minnesota,carleton-college,English,24
minnesota,carleton-college,Physics,24
minnesota,carleton-college,Geology and Earth Science,21
minnesota,macalester-college,Economics,69
minnesota,macalester-college,Political Science and Government,64
minnesota,macalester-college,Information Science,58
minnesota,macalester-college,Mathematics,52
minnesota,macalester-college,International Studies,43
minnesota,macalester-college,Biology,41
minnesota,macalester-college,Research and Experimental Psychology,39
minnesota,macalester-college,Geography,36
minnesota,macalester-college,Chemistry,25
minnesota,macalester-college,Environmental Science,21
minnesota,university-of-minnesota-twin-cities,Psychology,524
minnesota,university-of-minnesota-twin-cities,Computer Science,403
minnesota,university-of-minnesota-twin-cities,Economics,392
minnesota,university-of-minnesota-twin-cities,Journalism,331
minnesota,university-of-minnesota-twin-cities,Biology,330
minnesota,university-of-minnesota-twin-cities,Finance,327
minnesota,university-of-minnesota-twin-cities,Education,242
minnesota,university-of-minnesota-twin-cities,Political Science and Government,237
minnesota,university-of-minnesota-twin-cities,Mathematics,223
minnesota,university-of-minnesota-twin-cities,Mechanical Engineering,212
minnesota,st.-olaf-college,Economics,92
minnesota,st.-olaf-college,Biology,90
minnesota,st.-olaf-college,Mathematics,73
minnesota,st.-olaf-college,Psychology,63
minnesota,st.-olaf-college,Political Science and Government,56
minnesota,st.-olaf-college,Chemistry,49
minnesota,st.-olaf-college,English,43
minnesota,st.-olaf-college,Environmental Science,31
minnesota,st.-olaf-college,Sociology,29
minnesota,st.-olaf-college,Music History and Literature,27
minnesota,gustavus-adolphus-college,Psychology,58
minnesota,gustavus-adolphus-college,Biology,48
minnesota,gustavus-adolphus-college,Business,43
minnesota,gustavus-adolphus-college,Communications,39
minnesota,gustavus-adolphus-college,Economics,39
minnesota,gustavus-adolphus-college,Physical Education Teaching and Coaching,32
minnesota,gustavus-adolphus-college,Nursing,30
minnesota,gustavus-adolphus-college,Accounting,26
minnesota,gustavus-adolphus-college,English,25
minnesota,gustavus-adolphus-college,Mathematics,23
minnesota,university-of-minnesota-crookston,Accounting,48
minnesota,university-of-minnesota-crookston,Business,46
minnesota,university-of-minnesota-crookston,Healthcare Management,38
minnesota,university-of-minnesota-crookston,Operations Management,30
minnesota,university-of-minnesota-crookston,Liberal Arts and Humanities,29
minnesota,university-of-minnesota-crookston,Communications,23
minnesota,university-of-minnesota-crookston,Finance,19
minnesota,university-of-minnesota-crookston,Natural Resources Conservation and Management,18
minnesota,university-of-minnesota-crookston,Animal Sciences and Husbandry,17
minnesota,university-of-minnesota-crookston,Plant Science,17
minnesota,concordia-college,Business,66
minnesota,concordia-college,Biology,62
minnesota,concordia-college,Psychology,31
minnesota,concordia-college,Nursing,27
minnesota,concordia-college,Elementary Education,26
minnesota,concordia-college,Communications,25
minnesota,concordia-college,International Studies,20
minnesota,concordia-college,Mathematics,18
minnesota,concordia-college,Political Science and Government,18
minnesota,concordia-college,Spanish Language and Literature,17
minnesota,university-of-minnesota-duluth,Psychology,142
minnesota,university-of-minnesota-duluth,Marketing,132
minnesota,university-of-minnesota-duluth,Mechanical Engineering,122
minnesota,university-of-minnesota-duluth,Finance,119
minnesota,university-of-minnesota-duluth,Biology,111
minnesota,university-of-minnesota-duluth,Communications,94
minnesota,university-of-minnesota-duluth,Business,87
minnesota,university-of-minnesota-duluth,Computer Science,82
minnesota,university-of-minnesota-duluth,Education,78
minnesota,university-of-minnesota-duluth,Accounting,74
