State,College,Major,Students
mississippi,mississippi-state-university,Liberal Arts and Humanities,404
mississippi,mississippi-state-university,Kinesiology and Exercise Science,271
mississippi,mississippi-state-university,Business,248
mississippi,mississippi-state-university,Mechanical Engineering,179
mississippi,mississippi-state-university,Communications,159
mississippi,mississippi-state-university,Biology,140
mississippi,mississippi-state-university,Psychology,140
mississippi,mississippi-state-university,Elementary Education,131
mississippi,mississippi-state-university,Marketing,128
mississippi,mississippi-state-university,Chemical Engineering,99
mississippi,university-of-mississippi,Liberal Arts and Humanities,429
mississippi,university-of-mississippi,Accounting,293
mississippi,university-of-mississippi,Digital Communication and Media/Multimedia,281
mississippi,university-of-mississippi,Marketing,260
mississippi,university-of-mississippi,Nursing,259
mississippi,university-of-mississippi,Finance,246
mississippi,university-of-mississippi,Business,239
mississippi,university-of-mississippi,Psychology,235
mississippi,university-of-mississippi,Kinesiology and Exercise Science,184
mississippi,university-of-mississippi,Elementary Education,159
mississippi,william-carey-university,Nursing,96
mississippi,william-carey-university,Business,60
mississippi,william-carey-university,Liberal Arts and Humanities,60
mississippi,william-carey-university,Elementary Education,51
mississippi,william-carey-university,Psychology,51
mississippi,william-carey-university,Biology,50
mississippi,william-carey-university,Physical Education Teaching and Coaching,49
mississippi,william-carey-university,Health Professions,29
mississippi,william-carey-university,English and Speech Teacher Education,25
mississippi,william-carey-university,Police and Criminal Science,20
mississippi,millsaps-college,Business,33
mississippi,millsaps-college,Accounting,21
mississippi,millsaps-college,Psychology,20
mississippi,millsaps-college,Biology,16
mississippi,millsaps-college,Sociology,10
mississippi,millsaps-college,Neuroscience and Neurobiology,9
mississippi,millsaps-college,Biochemistry and Molecular Biology,8
mississippi,millsaps-college,History,8
mississippi,millsaps-college,Economics,7
mississippi,millsaps-college,Political Science and Government,7
mississippi,mississippi-college,Nursing,179
mississippi,mississippi-college,Kinesiology and Exercise Science,61
mississippi,mississippi-college,Business,48
mississippi,mississippi-college,Psychology,39
mississippi,mississippi-college,Biomedical Sciences and Molecular Medicine,37
mississippi,mississippi-college,Elementary Education,36
mississippi,mississippi-college,Communications,30
mississippi,mississippi-college,Accounting,27
mississippi,mississippi-college,Criminal Justice and Law Enforcement Administration,24
mississippi,mississippi-college,Biology,19
mississippi,university-of-southern-mississippi,Business,193
mississippi,university-of-southern-mississippi,Nursing,190
mississippi,university-of-southern-mississippi,Liberal Arts and Humanities,180
mississippi,university-of-southern-mississippi,Psychology,153
mississippi,university-of-southern-mississippi,Elementary Education,141
mississippi,university-of-southern-mississippi,Biology,105
mississippi,university-of-southern-mississippi,Marketing,95
mississippi,university-of-southern-mississippi,Accounting,91
mississippi,university-of-southern-mississippi,Kinesiology and Exercise Science,74
mississippi,university-of-southern-mississippi,Architectural Engineering Technician,71
