State,College,Major,Students
nebraska,creighton-university,Nursing,208
nebraska,creighton-university,Finance,112
nebraska,creighton-university,Biology,104
nebraska,creighton-university,Marketing,79
nebraska,creighton-university,Research and Experimental Psychology,74
nebraska,creighton-university,Management Sciences and Information Systems,72
nebraska,creighton-university,Exercise Physiology,59
nebraska,creighton-university,Economics,50
nebraska,creighton-university,Business,48
nebraska,creighton-university,Accounting,39
nebraska,university-of-nebraska---lincoln,Business,299
nebraska,university-of-nebraska---lincoln,Psychology,242
nebraska,university-of-nebraska---lincoln,Public Relations,231
nebraska,university-of-nebraska---lincoln,Finance,207
nebraska,university-of-nebraska---lincoln,Marketing,168
nebraska,university-of-nebraska---lincoln,"Foods, Nutrition, and Wellness Studies",161
nebraska,university-of-nebraska---lincoln,Biology,149
nebraska,university-of-nebraska---lincoln,Family Studies and Consumer Sciences,148
nebraska,university-of-nebraska---lincoln,Accounting,145
nebraska,university-of-nebraska---lincoln,Mechanical Engineering,133
nebraska,nebraska-wesleyan-university,Business,59
nebraska,nebraska-wesleyan-university,Nursing,59
nebraska,nebraska-wesleyan-university,Biology,51
nebraska,nebraska-wesleyan-university,Social Work and Youth Services,28
nebraska,nebraska-wesleyan-university,Communications,26
nebraska,nebraska-wesleyan-university,Psychology,19
nebraska,nebraska-wesleyan-university,Accounting,16
nebraska,nebraska-wesleyan-university,Kinesiology and Exercise Science,16
nebraska,nebraska-wesleyan-university,Physical Education Teaching and Coaching,16
nebraska,nebraska-wesleyan-university,Sport and Fitness Management,15
nebraska,university-of-nebraska-at-kearney,Business,130
nebraska,university-of-nebraska-at-kearney,Elementary Education,128
nebraska,university-of-nebraska-at-kearney,Operations Management,57
nebraska,university-of-nebraska-at-kearney,"Parks, Recreation and Leisure Studies",52
nebraska,university-of-nebraska-at-kearney,Family Studies and Consumer Sciences,47
nebraska,university-of-nebraska-at-kearney,Psychology,39
nebraska,university-of-nebraska-at-kearney,Biology,30
nebraska,university-of-nebraska-at-kearney,Special Education and Teaching,30
nebraska,university-of-nebraska-at-kearney,Social Work and Youth Services,29
nebraska,university-of-nebraska-at-kearney,Health Professions,28
nebraska,university-of-nebraska-at-omaha,Liberal Arts and Humanities,306
nebraska,university-of-nebraska-at-omaha,Criminal Justice and Safety Studies,209
nebraska,university-of-nebraska-at-omaha,Psychology,105
nebraska,university-of-nebraska-at-omaha,Business,103
nebraska,university-of-nebraska-at-omaha,Biology,94
nebraska,university-of-nebraska-at-omaha,Marketing,93
nebraska,university-of-nebraska-at-omaha,Communications,89
nebraska,university-of-nebraska-at-omaha,Banking and Finance,72
nebraska,university-of-nebraska-at-omaha,Elementary Education,71
nebraska,university-of-nebraska-at-omaha,Kinesiology and Exercise Science,71
