State,College,Major,Students
new-hampshire,dartmouth-college,Economics,172
new-hampshire,dartmouth-college,Political Science and Government,170
new-hampshire,dartmouth-college,Engineering Science,109
new-hampshire,dartmouth-college,Computer Science,87
new-hampshire,dartmouth-college,Mathematics,76
new-hampshire,dartmouth-college,Research and Experimental Psychology,61
new-hampshire,dartmouth-college,Biology,54
new-hampshire,dartmouth-college,History,54
new-hampshire,dartmouth-college,Neuroscience and Neurobiology,46
new-hampshire,dartmouth-college,Anthropology,44
new-hampshire,university-of-new-hampshire,Business,895
new-hampshire,university-of-new-hampshire,Psychology,203
new-hampshire,university-of-new-hampshire,Communications,184
new-hampshire,university-of-new-hampshire,Biomedical Sciences and Molecular Medicine,151
new-hampshire,university-of-new-hampshire,"Parks, Recreation and Leisure Studies",120
new-hampshire,university-of-new-hampshire,English,106
new-hampshire,university-of-new-hampshire,Mechanical Engineering,95
new-hampshire,university-of-new-hampshire,Political Science and Government,89
new-hampshire,university-of-new-hampshire,Civil Engineering,87
new-hampshire,university-of-new-hampshire,"Foods, Nutrition, and Wellness Studies",84
new-hampshire,white-mountains-community-college,Welding,54
new-hampshire,white-mountains-community-college,Liberal Arts and Humanities,23
new-hampshire,white-mountains-community-college,Medical Assistant,23
new-hampshire,white-mountains-community-college,Nursing,20
new-hampshire,white-mountains-community-college,"Truck,  Bus, and Commercial Vehicle Operation",17
new-hampshire,white-mountains-community-college,Diesel Mechanics,13
new-hampshire,white-mountains-community-college,Veterinary Technician and Assistant,13
new-hampshire,white-mountains-community-college,Early Childhood Education,9
new-hampshire,white-mountains-community-college,Criminal Justice and Law Enforcement Administration,8
new-hampshire,white-mountains-community-college,Automotive Mechanics,6
new-hampshire,university-of-new-hampshire-at-manchester,Business,33
new-hampshire,university-of-new-hampshire-at-manchester,Biology,20
new-hampshire,university-of-new-hampshire-at-manchester,Biotechnology,17
new-hampshire,university-of-new-hampshire-at-manchester,English,17
new-hampshire,university-of-new-hampshire-at-manchester,Psychology,17
new-hampshire,university-of-new-hampshire-at-manchester,Homeland Security and Disaster Management,16
new-hampshire,university-of-new-hampshire-at-manchester,Computer Systems Technician,13
new-hampshire,university-of-new-hampshire-at-manchester,Communications,11
new-hampshire,university-of-new-hampshire-at-manchester,Neuroscience and Neurobiology,11
new-hampshire,university-of-new-hampshire-at-manchester,Mechanical Engineering Technician,10
