State,College,Major,Students
california,stanford-university,Computer Science,330
california,stanford-university,Engineering,216
california,stanford-university,Biology,197
california,stanford-university,Economics,86
california,stanford-university,Cognitive Science,80
california,stanford-university,Mechanical Engineering,79
california,stanford-university,Liberal Arts and Humanities,70
california,stanford-university,Electrical Engineering,63
california,stanford-university,Political Science and Government,57
california,stanford-university,International Relations,54
california,university-of-southern-california,Business,1022
california,university-of-southern-california,Biology,282
california,university-of-southern-california,Communications,270
california,university-of-southern-california,Computer Science,228
california,university-of-southern-california,International Relations,223
california,university-of-southern-california,Economics,198
california,university-of-southern-california,Accounting,187
california,university-of-southern-california,Psychology,157
california,university-of-southern-california,Political Science and Government,141
california,university-of-southern-california,Real Estate,137
california,pomona-college,Economics,49
california,pomona-college,Mathematics,42
california,pomona-college,Computer Science,36
california,pomona-college,Neuroscience and Neurobiology,32
california,pomona-college,Public Policy Analysis,23
california,pomona-college,Political Science and Government,20
california,pomona-college,Biochemistry and Molecular Biology,19
california,pomona-college,English,19
california,pomona-college,Communications,16
california,pomona-college,International Relations,16
california,california-institute-of-technology,Computer Science,64
california,california-institute-of-technology,Mechanical Engineering,30
california,california-institute-of-technology,Electrical Engineering,24
california,california-institute-of-technology,Physics,23
california,california-institute-of-technology,Chemical Engineering,13
california,california-institute-of-technology,Chemistry,13
california,california-institute-of-technology,Mathematics,13
california,california-institute-of-technology,Computational and Applied Mathematics,12
california,california-institute-of-technology,Bioengineering and Biomedical Engineering,11
california,california-institute-of-technology,Biology,10
california,university-of-california---los-angeles,Economics,683
california,university-of-california---los-angeles,Sociology,658
california,university-of-california---los-angeles,Political Science and Government,647
california,university-of-california---los-angeles,Psychology,635
california,university-of-california---los-angeles,Biology,584
california,university-of-california---los-angeles,Physiological Psychology,366
california,university-of-california---los-angeles,History,332
california,university-of-california---los-angeles,Computational and Applied Mathematics,328
california,university-of-california---los-angeles,English,280
california,university-of-california---los-angeles,Anthropology,244
california,claremont-mckenna-college,Economics,109
california,claremont-mckenna-college,Political Science and Government,41
