State,College,Major,Students
california,orange-coast-college,Liberal Arts and Humanities,2228
california,orange-coast-college,Business,418
california,orange-coast-college,Psychology,167
california,orange-coast-college,Communications,158
california,orange-coast-college,Natural Sciences,118
california,orange-coast-college,Machine and Metal Working,116
california,orange-coast-college,Accounting Technician and Bookkeeping,104
california,orange-coast-college,Aircraft Maintenance,100
california,orange-coast-college,Computer Science,95
california,orange-coast-college,General Construction Trades,91
california,canada-college,Liberal Arts and Humanities,234
california,canada-college,Psychology,81
california,canada-college,Child Care Provider,75
california,canada-college,Natural Sciences,47
california,canada-college,Business,46
california,canada-college,Health Service Preparatory Studies,42
california,canada-college,Sociology,42
california,canada-college,Economics,39
california,canada-college,Interior Design,33
california,canada-college,Accounting Technician and Bookkeeping,31
california,california-state-university---san-marcos,Nursing,636
california,california-state-university---san-marcos,Business,472
california,california-state-university---san-marcos,Human Development,284
california,california-state-university---san-marcos,Psychology,258
california,california-state-university---san-marcos,Criminology,233
california,california-state-university---san-marcos,Communications,229
california,california-state-university---san-marcos,Sociology,204
california,california-state-university---san-marcos,Physical Education Teaching and Coaching,192
california,california-state-university---san-marcos,Biology,140
california,california-state-university---san-marcos,Liberal Arts and Humanities,139
california,fresno-pacific-university,Liberal Arts and Humanities,268
california,fresno-pacific-university,Child Development,150
california,fresno-pacific-university,Business,148
california,fresno-pacific-university,Social Work and Youth Services,133
california,fresno-pacific-university,Organizational Behavior Studies,43
california,fresno-pacific-university,Healthcare Management,32
california,fresno-pacific-university,Nursing,30
california,fresno-pacific-university,Criminology,29
california,fresno-pacific-university,Psychology,24
california,fresno-pacific-university,Communications,16
california,california-state-university---sacramento,Business,1019
california,california-state-university---sacramento,Criminal Justice and Safety Studies,518
california,california-state-university---sacramento,Communications,510
california,california-state-university---sacramento,Early Childhood Education,498
california,california-state-university---sacramento,Psychology,478
california,california-state-university---sacramento,Physical Education Teaching and Coaching,305
california,california-state-university---sacramento,Sociology,252
california,california-state-university---sacramento,Nursing,239
california,california-state-university---sacramento,Computer Science,236
california,california-state-university---sacramento,Biology,232
california,cerritos-college,Liberal Arts and Humanities,429
california,cerritos-college,Business,307
california,cerritos-college,Child Care Provider,209
california,cerritos-college,Natural Sciences,209
california,cerritos-college,Psychology,139
california,cerritos-college,Police and Criminal Science,113
california,cerritos-college,Sociology,99
california,cerritos-college,Nursing,79
california,cerritos-college,Automotive Mechanics,67
california,cerritos-college,Communications,65
