State,College,Major,Students
colorado,colorado-school-of-mines,Mechanical Engineering,327
colorado,colorado-school-of-mines,Mining and Petroleum Engineering,110
colorado,colorado-school-of-mines,Computer Science,102
colorado,colorado-school-of-mines,Chemical Engineering,90
colorado,colorado-school-of-mines,Engineering,84
colorado,colorado-school-of-mines,Bioengineering and Biomedical Engineering,74
colorado,colorado-school-of-mines,Electrical Engineering,73
colorado,colorado-school-of-mines,Engineering Physics,59
colorado,colorado-school-of-mines,Civil Engineering,54
colorado,colorado-school-of-mines,Materials Engineering,46
colorado,colorado-college,Economics,73
colorado,colorado-college,Ecology and Evolutionary Biology,42
colorado,colorado-college,Environmental Science,40
colorado,colorado-college,Sociology,36
colorado,colorado-college,Liberal Arts and Humanities,35
colorado,colorado-college,Political Science and Government,30
colorado,colorado-college,Cellular Biology,28
colorado,colorado-college,Psychology,28
colorado,colorado-college,Computer and Information Sciences,23
colorado,colorado-college,Physics,21
colorado,university-of-denver,Finance,148
colorado,university-of-denver,Psychology,147
colorado,university-of-denver,Marketing,102
colorado,university-of-denver,Communications,99
colorado,university-of-denver,International Relations,89
colorado,university-of-denver,Biochemistry and Molecular Biology,68
colorado,university-of-denver,Biology,67
colorado,university-of-denver,Political Science and Government,52
colorado,university-of-denver,Business,51
colorado,university-of-denver,Management Sciences and Information Systems,48
colorado,university-of-colorado---boulder,Business,993
colorado,university-of-colorado---boulder,Psychology,478
colorado,university-of-colorado---boulder,Public Relations,389
colorado,university-of-colorado---boulder,Physiology and Pathology,343
colorado,university-of-colorado---boulder,Computer Science,332
colorado,university-of-colorado---boulder,Economics,285
colorado,university-of-colorado---boulder,Mechanical Engineering,260
colorado,university-of-colorado---boulder,Ecology and Evolutionary Biology,219
colorado,university-of-colorado---boulder,Communications,197
colorado,university-of-colorado---boulder,Environmental Science,193
colorado,colorado-state-university,Business,702
colorado,colorado-state-university,Mechanical Engineering,254
colorado,colorado-state-university,Human Development,253
colorado,colorado-state-university,Kinesiology and Exercise Science,242
colorado,colorado-state-university,Psychology,239
colorado,colorado-state-university,Economics,195
colorado,colorado-state-university,Communications,189
colorado,colorado-state-university,Information Science,181
colorado,colorado-state-university,Biology,170
colorado,colorado-state-university,Construction Engineering Technician,158
colorado,university-of-colorado-denver,Business,435
colorado,university-of-colorado-denver,Nursing,313
colorado,university-of-colorado-denver,Biology,205
colorado,university-of-colorado-denver,Economics,174
colorado,university-of-colorado-denver,Psychology,158
colorado,university-of-colorado-denver,Communications,150
colorado,university-of-colorado-denver,Public Health,96
colorado,university-of-colorado-denver,Architecture,89
colorado,university-of-colorado-denver,Music History and Literature,88
colorado,university-of-colorado-denver,Criminal Justice and Law Enforcement Administration,83
colorado,regis-university,Nursing,310
colorado,regis-university,Business,131
colorado,regis-university,Liberal Arts and Humanities,114
colorado,regis-university,Computer Science,57
colorado,regis-university,Accounting,54
colorado,regis-university,Communications,36
colorado,regis-university,Biology,32
colorado,regis-university,Psychology,26
colorado,regis-university,Elementary Education,25
colorado,regis-university,Neuroscience and Neurobiology,23
colorado,aims-community-college,Liberal Arts and Humanities,410
colorado,aims-community-college,Automotive Mechanics,270
colorado,aims-community-college,Nursing Assistant,208
colorado,aims-community-college,Welding,172
colorado,aims-community-college,Emergency Medical Technician (EMT Paramedic),166
colorado,aims-community-college,Health Professions,71
colorado,aims-community-college,Fire Science and Fire Fighting,69
colorado,aims-community-college,Carpentry,68
colorado,aims-community-college,Criminal Justice and Law Enforcement Administration,58
colorado,aims-community-college,Medical Assistant,47
colorado,colorado-christian-university,Business,135
colorado,colorado-christian-university,Psychology,133
colorado,colorado-christian-university,Biblical Studies,107
colorado,colorado-christian-university,Nursing,66
colorado,colorado-christian-university,Healthcare Management,63
colorado,colorado-christian-university,Organizational Behavior Studies,54
colorado,colorado-christian-university,Communications,51
colorado,colorado-christian-university,Elementary Education,33
colorado,colorado-christian-university,Physiological Psychology,33
colorado,colorado-christian-university,Accounting,32
