State,College,Major,Students
alabama,auburn-university,Biomedical Sciences and Molecular Medicine,305
alabama,auburn-university,Business,265
alabama,auburn-university,Finance,265
alabama,auburn-university,Marketing,221
alabama,auburn-university,Exercise Physiology,215
alabama,auburn-university,Mechanical Engineering,208
alabama,auburn-university,Accounting,180
alabama,auburn-university,Nursing,178
alabama,auburn-university,Psychology,166
alabama,auburn-university,Logistics and Supply Chain Management,162
alabama,university-of-alabama---birmingham,Nursing,346
alabama,university-of-alabama---birmingham,Psychology,176
alabama,university-of-alabama---birmingham,Business,164
alabama,university-of-alabama---birmingham,Healthcare Management,113
alabama,university-of-alabama---birmingham,Physical Education Teaching and Coaching,113
alabama,university-of-alabama---birmingham,Biology,110
alabama,university-of-alabama---birmingham,Accounting,104
alabama,university-of-alabama---birmingham,Communications,101
alabama,university-of-alabama---birmingham,Liberal Arts and Humanities,99
alabama,university-of-alabama---birmingham,Public Health,99
alabama,the-university-of-alabama,Marketing,493
alabama,the-university-of-alabama,Finance,467
alabama,the-university-of-alabama,Business,399
alabama,the-university-of-alabama,Nursing,377
alabama,the-university-of-alabama,Mechanical Engineering,342
alabama,the-university-of-alabama,Psychology,303
alabama,the-university-of-alabama,Accounting,301
alabama,the-university-of-alabama,Public Relations,262
alabama,the-university-of-alabama,Management Sciences and Information Systems,257
alabama,the-university-of-alabama,Physical Education Teaching and Coaching,222
alabama,samford-university,Pharmacy and Pharmaceutical Sciences,124
alabama,samford-university,Nursing,118
alabama,samford-university,Finance,51
alabama,samford-university,Journalism,47
alabama,samford-university,Marketing,41
alabama,samford-university,Health Service Preparatory Studies,34
alabama,samford-university,Business,33
alabama,samford-university,Accounting,30
alabama,samford-university,Human Development,30
alabama,samford-university,Education,28
alabama,the-university-of-alabama-in-huntsville,Nursing,208
alabama,the-university-of-alabama-in-huntsville,Mechanical Engineering,106
alabama,the-university-of-alabama-in-huntsville,Information Science,100
alabama,the-university-of-alabama-in-huntsville,Biology,87
alabama,the-university-of-alabama-in-huntsville,Business,85
alabama,the-university-of-alabama-in-huntsville,Aerospace Engineering,73
alabama,the-university-of-alabama-in-huntsville,Electrical Engineering,61
alabama,the-university-of-alabama-in-huntsville,Management Sciences and Information Systems,60
