State,College,Major,Students
delaware,university-of-delaware,Finance,294
delaware,university-of-delaware,Liberal Arts and Humanities,267
delaware,university-of-delaware,Marketing,254
delaware,university-of-delaware,Nursing,191
delaware,university-of-delaware,Economics,182
delaware,university-of-delaware,Kinesiology and Exercise Science,173
delaware,university-of-delaware,Elementary Education,160
delaware,university-of-delaware,Research and Experimental Psychology,160
delaware,university-of-delaware,Mechanical Engineering,159
delaware,university-of-delaware,Biology,145
delaware,goldey-beacom-college,Business,51
delaware,goldey-beacom-college,Accounting,30
delaware,goldey-beacom-college,Finance,23
delaware,goldey-beacom-college,Psychology,19
delaware,goldey-beacom-college,Criminal Justice and Safety Studies,17
delaware,goldey-beacom-college,Human Resources,10
delaware,goldey-beacom-college,Liberal Arts and Humanities,9
delaware,goldey-beacom-college,Legal Studies,8
delaware,goldey-beacom-college,Sport and Fitness Management,7
delaware,goldey-beacom-college,Entrepreneurship,6
