State,College,Major,Students
georgia,georgia-state-university,Psychology,477
georgia,georgia-state-university,Biology,307
georgia,georgia-state-university,Marketing,253
georgia,georgia-state-university,Finance,250
georgia,georgia-state-university,Liberal Arts and Humanities,239
georgia,georgia-state-university,Information Science,237
georgia,georgia-state-university,Journalism,237
georgia,georgia-state-university,Computer Science,219
georgia,georgia-state-university,Business,213
georgia,georgia-state-university,Accounting,203
georgia,piedmont-university,Nursing,78
georgia,piedmont-university,Early Childhood Education,26
georgia,piedmont-university,Business,19
georgia,piedmont-university,Psychology,14
georgia,piedmont-university,Biology,10
georgia,piedmont-university,Marketing,10
georgia,piedmont-university,Criminal Justice and Safety Studies,9
georgia,piedmont-university,Political Science and Government,9
georgia,piedmont-university,Communications,8
georgia,piedmont-university,Cardiovascular Technician,7
georgia,augusta-university,Nursing,184
georgia,augusta-university,Psychology,85
georgia,augusta-university,Kinesiology and Exercise Science,67
georgia,augusta-university,Cellular Biology,65
georgia,augusta-university,Computer and Information Systems Security,64
georgia,augusta-university,Business,48
georgia,augusta-university,Communications,45
georgia,augusta-university,Biology,43
georgia,augusta-university,Accounting,38
georgia,augusta-university,Information Technology,35
georgia,covenant-college,Psychology,21
georgia,covenant-college,Economics,19
georgia,covenant-college,Liberal Arts and Humanities,19
georgia,covenant-college,Biblical Studies,18
georgia,covenant-college,Biology,18
georgia,covenant-college,Information Science,17
georgia,covenant-college,Arts,15
georgia,covenant-college,Business,14
georgia,covenant-college,Elementary Education,14
georgia,covenant-college,English,12
georgia,lanier-technical-college,Welding,191
georgia,lanier-technical-college,Automotive Mechanics,143
georgia,lanier-technical-college,Data Processing,140
georgia,lanier-technical-college,Medical Assistant,126
georgia,lanier-technical-college,Child Care Provider,108
georgia,lanier-technical-college,Heavy Equipment Maintenance Technician,101
georgia,lanier-technical-college,Business,92
georgia,lanier-technical-college,Accounting Technician and Bookkeeping,91
georgia,lanier-technical-college,Nursing Assistant,78
georgia,lanier-technical-college,Emergency Medical Technician (EMT Paramedic),76
