State,College,Major,Students
indiana,university-of-notre-dame,Finance,218
indiana,university-of-notre-dame,Economics,202
indiana,university-of-notre-dame,Political Science and Government,181
indiana,university-of-notre-dame,Mathematics,135
indiana,university-of-notre-dame,Mechanical Engineering,122
indiana,university-of-notre-dame,Information Science,115
indiana,university-of-notre-dame,Neuroscience and Neurobiology,112
indiana,university-of-notre-dame,Management Sciences and Information Systems,109
indiana,university-of-notre-dame,Accounting,94
indiana,university-of-notre-dame,Psychology,94
indiana,purdue-university,Business,788
indiana,purdue-university,Computer Science,418
indiana,purdue-university,Mechanical Engineering,363
indiana,purdue-university,Industrial Engineering,249
indiana,purdue-university,Electrical Engineering,229
indiana,purdue-university,Finance,209
indiana,purdue-university,Computer Hardware Engineering,206
indiana,purdue-university,Mechanical Engineering Technician,195
indiana,purdue-university,Research and Experimental Psychology,187
indiana,purdue-university,Information Technology,185
indiana,rose-hulman-institute-of-technology,Mechanical Engineering,157
indiana,rose-hulman-institute-of-technology,Computer Science,76
indiana,rose-hulman-institute-of-technology,Chemical Engineering,63
indiana,rose-hulman-institute-of-technology,Electrical Engineering,50
indiana,rose-hulman-institute-of-technology,Bioengineering and Biomedical Engineering,43
indiana,rose-hulman-institute-of-technology,Mathematics,39
indiana,rose-hulman-institute-of-technology,Computer Hardware Engineering,35
indiana,rose-hulman-institute-of-technology,Civil Engineering,29
indiana,rose-hulman-institute-of-technology,Computer Software Engineering,25
indiana,rose-hulman-institute-of-technology,Computational and Applied Mathematics,24
indiana,indiana-university---bloomington,Business,2112
indiana,indiana-university---bloomington,Public Administration,614
indiana,indiana-university---bloomington,Computer and Information Sciences,501
indiana,indiana-university---bloomington,Communications,432
indiana,indiana-university---bloomington,Kinesiology and Exercise Science,374
indiana,indiana-university---bloomington,Biology,363
indiana,indiana-university---bloomington,Research and Experimental Psychology,301
indiana,indiana-university---bloomington,Liberal Arts and Humanities,228
indiana,indiana-university---bloomington,"Parks, Recreation and Leisure Studies",182
indiana,indiana-university---bloomington,Public Health,173
indiana,wabash-college,Economics,27
indiana,wabash-college,Rhetoric and Composition,20
indiana,wabash-college,History,19
indiana,wabash-college,Political Science and Government,19
indiana,wabash-college,English,16
indiana,wabash-college,Religious Studies,16
indiana,wabash-college,Biology,15
indiana,wabash-college,Mathematics,14
indiana,wabash-college,Research and Experimental Psychology,14
indiana,wabash-college,Chemistry,10
indiana,depauw-university,Economics,95
indiana,depauw-university,Communications,89
indiana,depauw-university,Computer Science,50
indiana,depauw-university,Professional and Technical Writing,26
indiana,depauw-university,Political Science and Government,23
indiana,depauw-university,Psychology,23
indiana,depauw-university,Public Health,22
indiana,depauw-university,Kinesiology and Exercise Science,21
indiana,depauw-university,Biochemistry and Molecular Biology,19
indiana,depauw-university,Biology,19
indiana,butler-university,Marketing,107
indiana,butler-university,Finance,95
indiana,butler-university,Biology,47
indiana,butler-university,Psychology,43
indiana,butler-university,Accounting,42
indiana,butler-university,Spanish Language and Literature,41
indiana,butler-university,Elementary Education,38
indiana,butler-university,Health Service Preparatory Studies,35
indiana,butler-university,Chemistry,33
indiana,butler-university,Public Relations,33
indiana,valparaiso-university,Nursing,150
indiana,valparaiso-university,Mechanical Engineering,49
indiana,valparaiso-university,Psychology,41
indiana,valparaiso-university,Communications,36
indiana,valparaiso-university,Accounting,32
indiana,valparaiso-university,Business,32
indiana,valparaiso-university,Civil Engineering,29
indiana,valparaiso-university,Computer Science,28
indiana,valparaiso-university,Electrical Engineering,27
indiana,valparaiso-university,Biology,23
indiana,taylor-university,Exercise Physiology,37
indiana,taylor-university,Business,36
indiana,taylor-university,Psychology,32
indiana,taylor-university,Elementary Education,30
indiana,taylor-university,Biology,26
indiana,taylor-university,Marketing,26
indiana,taylor-university,Computer Science,24
indiana,taylor-university,Accounting,18
indiana,taylor-university,Finance,18
indiana,taylor-university,Professional and Technical Writing,17
indiana,university-of-evansville,Kinesiology and Exercise Science,52
indiana,university-of-evansville,Nursing,28
indiana,university-of-evansville,Mechanical Engineering,27
indiana,university-of-evansville,Finance,26
indiana,university-of-evansville,Accounting,20
indiana,university-of-evansville,Biology,20
indiana,university-of-evansville,Acting,18
indiana,university-of-evansville,Athletic Training,16
indiana,university-of-evansville,Electrical Engineering,15
indiana,university-of-evansville,Marketing,15
indiana,earlham-college,Computer Science,22
indiana,earlham-college,Psychology,22
indiana,earlham-college,Business,21
indiana,earlham-college,Liberal Arts and Humanities,14
indiana,earlham-college,Biochemistry and Molecular Biology,13
indiana,earlham-college,Biology,10
indiana,earlham-college,Peace Studies and Conflict Resolution,10
indiana,earlham-college,Economics,8
indiana,earlham-college,Geology and Earth Science,8
indiana,earlham-college,Neuroscience and Neurobiology,8
indiana,hanover-college,Communications,26
indiana,hanover-college,Biology,21
indiana,hanover-college,Economics,20
indiana,hanover-college,Psychology,20
indiana,hanover-college,Kinesiology and Exercise Science,19
indiana,hanover-college,History,13
indiana,hanover-college,Sociology,13
indiana,hanover-college,Biochemistry and Molecular Biology,11
indiana,hanover-college,Computer Science,11
indiana,hanover-college,Political Science and Government,11
