State,College,Major,Students
iowa,grinnell-college,Computer Science,56
iowa,grinnell-college,Biology,46
iowa,grinnell-college,Political Science and Government,41
iowa,grinnell-college,Research and Experimental Psychology,37
iowa,grinnell-college,Mathematics,35
iowa,grinnell-college,Economics,33
iowa,grinnell-college,Biochemistry and Molecular Biology,29
iowa,grinnell-college,History,27
iowa,grinnell-college,English,26
iowa,grinnell-college,Chemistry,24
iowa,iowa-state-university,Mechanical Engineering,473
iowa,iowa-state-university,Marketing,348
iowa,iowa-state-university,Agricultural Business,276
iowa,iowa-state-university,Finance,269
iowa,iowa-state-university,Kinesiology and Exercise Science,254
iowa,iowa-state-university,Animal Sciences and Husbandry,230
iowa,iowa-state-university,Information Technology,214
iowa,iowa-state-university,Elementary Education,205
iowa,iowa-state-university,Psychology,198
iowa,iowa-state-university,Biology,188
iowa,university-of-iowa,Kinesiology and Exercise Science,508
iowa,university-of-iowa,Finance,408
iowa,university-of-iowa,Liberal Arts and Humanities,347
iowa,university-of-iowa,Business,339
iowa,university-of-iowa,Psychology,254
iowa,university-of-iowa,Nursing,224
iowa,university-of-iowa,Marketing,195
iowa,university-of-iowa,Communications,190
iowa,university-of-iowa,English,189
iowa,university-of-iowa,Economics,184
