State,College,Major,Students
kentucky,university-of-kentucky,Marketing,362
kentucky,university-of-kentucky,Business,319
kentucky,university-of-kentucky,Nursing,272
kentucky,university-of-kentucky,Psychology,263
kentucky,university-of-kentucky,Biology,245
kentucky,university-of-kentucky,Communications,234
kentucky,university-of-kentucky,Finance,215
kentucky,university-of-kentucky,Mechanical Engineering,184
kentucky,university-of-kentucky,Information Science,177
kentucky,university-of-kentucky,Physical Education Teaching and Coaching,173
kentucky,university-of-louisville,Nursing,254
kentucky,university-of-louisville,Communications,227
kentucky,university-of-louisville,Psychology,190
kentucky,university-of-louisville,Criminal Justice and Law Enforcement Administration,166
kentucky,university-of-louisville,Education,163
kentucky,university-of-louisville,Marketing,160
kentucky,university-of-louisville,Management Sciences and Information Systems,129
kentucky,university-of-louisville,Physical Education Teaching and Coaching,129
kentucky,university-of-louisville,Biology,126
kentucky,university-of-louisville,Mechanical Engineering,120
kentucky,centre-college,Economics,76
kentucky,centre-college,International Studies,32
kentucky,centre-college,Psychology,25
kentucky,centre-college,Mathematics,24
kentucky,centre-college,Sociology,23
kentucky,centre-college,Physiological Psychology,21
kentucky,centre-college,Political Science and Government,21
kentucky,centre-college,Biology,18
kentucky,centre-college,Biochemistry and Molecular Biology,17
kentucky,centre-college,History,16
kentucky,berea-college,Information Science,30
kentucky,berea-college,Business,29
kentucky,berea-college,Communications,22
kentucky,berea-college,Human Development,20
kentucky,berea-college,Psychology,19
kentucky,berea-college,Chemistry,17
kentucky,berea-college,Biology,15
kentucky,berea-college,Engineering Technician,15
kentucky,berea-college,Agriculture,12
kentucky,berea-college,History,12
kentucky,bellarmine-university,Nursing,128
kentucky,bellarmine-university,Psychology,65
kentucky,bellarmine-university,Biology,51
kentucky,bellarmine-university,Communications,46
kentucky,bellarmine-university,Kinesiology and Exercise Science,46
kentucky,bellarmine-university,Business,41
kentucky,bellarmine-university,Accounting,19
kentucky,bellarmine-university,Liberal Arts and Humanities,19
kentucky,bellarmine-university,Special Education and Teaching,19
kentucky,bellarmine-university,Criminal Justice and Safety Studies,18
kentucky,spalding-university,Nursing,78
kentucky,spalding-university,Health Service Preparatory Studies,39
kentucky,spalding-university,Business,33
kentucky,spalding-university,Studio Arts,31
kentucky,spalding-university,Psychology,26
kentucky,spalding-university,Accounting,13
kentucky,spalding-university,Natural Sciences,13
kentucky,spalding-university,Social Work and Youth Services,9
kentucky,spalding-university,Communications,8
kentucky,spalding-university,Elementary Education,7
kentucky,transylvania-university,Biology,32
kentucky,transylvania-university,Business,27
kentucky,transylvania-university,Kinesiology and Exercise Science,24
kentucky,transylvania-university,Psychology,23
kentucky,transylvania-university,Accounting,15
kentucky,transylvania-university,Spanish Language and Literature,15
kentucky,transylvania-university,Mathematics,13
kentucky,transylvania-university,Communications,12
kentucky,transylvania-university,Sociology,11
kentucky,transylvania-university,Elementary Education,8
kentucky,murray-state-university,Agriculture,113
kentucky,murray-state-university,Veterinary Technician and Assistant,109
kentucky,murray-state-university,Liberal Arts and Humanities,107
kentucky,murray-state-university,Nursing,101
kentucky,murray-state-university,Business,82
kentucky,murray-state-university,Social Work and Youth Services,79
kentucky,murray-state-university,Occupational Safety and Health Technician,73
kentucky,murray-state-university,Elementary Education,63
kentucky,murray-state-university,Research and Experimental Psychology,49
kentucky,murray-state-university,Civil Engineering Technician,45
kentucky,asbury-university,Business,42
kentucky,asbury-university,Radio and Television,39
kentucky,asbury-university,Elementary Education,27
kentucky,asbury-university,Equine Studies,15
kentucky,asbury-university,Education,14
kentucky,asbury-university,English,14
kentucky,asbury-university,Psychology,14
kentucky,asbury-university,Religious Vocations,13
kentucky,asbury-university,Accounting,11
kentucky,asbury-university,Social Work and Youth Services,11
