State,College,Major,Students
louisiana,tulane-university,Finance,262
louisiana,tulane-university,Business,195
louisiana,tulane-university,Marketing,161
louisiana,tulane-university,Psychology,136
louisiana,tulane-university,Health Professions,131
louisiana,tulane-university,Neuroscience and Neurobiology,123
louisiana,tulane-university,Economics,117
louisiana,tulane-university,Political Science and Government,116
louisiana,tulane-university,Communications,84
louisiana,tulane-university,English,70
louisiana,louisiana-tech-university,Biology,93
louisiana,louisiana-tech-university,Mechanical Engineering,84
louisiana,louisiana-tech-university,Business,70
louisiana,louisiana-tech-university,Liberal Arts and Humanities,68
louisiana,louisiana-tech-university,Computer Science,67
louisiana,louisiana-tech-university,Marketing,64
louisiana,louisiana-tech-university,Kinesiology and Exercise Science,55
louisiana,louisiana-tech-university,Psychology,54
louisiana,louisiana-tech-university,Nursing,53
louisiana,louisiana-tech-university,Human Development,50
louisiana,louisiana-state-university,Physical Education Teaching and Coaching,352
louisiana,louisiana-state-university,Communications,283
louisiana,louisiana-state-university,Biology,272
louisiana,louisiana-state-university,Business,248
louisiana,louisiana-state-university,Marketing,203
louisiana,louisiana-state-university,Construction Management,184
louisiana,louisiana-state-university,Psychology,182
louisiana,louisiana-state-university,Accounting,180
louisiana,louisiana-state-university,Finance,176
louisiana,louisiana-state-university,Liberal Arts and Humanities,176
louisiana,loyola-university-new-orleans,Music Management,62
louisiana,loyola-university-new-orleans,Psychology,45
louisiana,loyola-university-new-orleans,Public Relations,36
louisiana,loyola-university-new-orleans,Marketing,34
louisiana,loyola-university-new-orleans,Biology,29
louisiana,loyola-university-new-orleans,Criminology,29
louisiana,loyola-university-new-orleans,Political Science and Government,18
louisiana,loyola-university-new-orleans,Business,17
louisiana,loyola-university-new-orleans,Environmental Science,17
louisiana,loyola-university-new-orleans,Literature,17
louisiana,franciscan-missionaries-of-our-lady-university,Nursing,142
louisiana,franciscan-missionaries-of-our-lady-university,Physical Therapy Technician,26
louisiana,franciscan-missionaries-of-our-lady-university,Radiologic Technician,19
louisiana,franciscan-missionaries-of-our-lady-university,Medical Laboratory Technician,14
louisiana,franciscan-missionaries-of-our-lady-university,Pre-Medicine Studies,12
louisiana,franciscan-missionaries-of-our-lady-university,Medical Assistant,9
louisiana,franciscan-missionaries-of-our-lady-university,Phlebotomy Technician,9
louisiana,franciscan-missionaries-of-our-lady-university,Healthcare Management,5
louisiana,franciscan-missionaries-of-our-lady-university,Health Service Preparatory Studies,4
louisiana,franciscan-missionaries-of-our-lady-university,Liberal Arts and Humanities,4
louisiana,university-of-louisiana---lafayette,Nursing,553
louisiana,university-of-louisiana---lafayette,Liberal Arts and Humanities,303
louisiana,university-of-louisiana---lafayette,Physical Education Teaching and Coaching,156
louisiana,university-of-louisiana---lafayette,Business,131
louisiana,university-of-louisiana---lafayette,Manufacturing Engineering Technician,116
louisiana,university-of-louisiana---lafayette,Mechanical Engineering,113
louisiana,university-of-louisiana---lafayette,Biology,110
louisiana,university-of-louisiana---lafayette,Psychology,105
louisiana,university-of-louisiana---lafayette,Mining and Petroleum Engineering,99
louisiana,university-of-louisiana---lafayette,Accounting,77
louisiana,university-of-new-orleans,Business,110
louisiana,university-of-new-orleans,Biology,109
louisiana,university-of-new-orleans,Liberal Arts and Humanities,95
louisiana,university-of-new-orleans,Accounting,93
louisiana,university-of-new-orleans,Psychology,70
louisiana,university-of-new-orleans,Mechanical Engineering,54
louisiana,university-of-new-orleans,Drama and Theatre Production,50
louisiana,university-of-new-orleans,Computer Science,42
louisiana,university-of-new-orleans,Finance,42
louisiana,university-of-new-orleans,Electrical Engineering,38
louisiana,xavier-university-of-louisiana,Biology,133
louisiana,xavier-university-of-louisiana,Chemistry,38
louisiana,xavier-university-of-louisiana,Psychology,36
louisiana,xavier-university-of-louisiana,Public Health,15
louisiana,xavier-university-of-louisiana,Political Science and Government,13
louisiana,xavier-university-of-louisiana,Communications,12
louisiana,xavier-university-of-louisiana,Marketing,9
louisiana,xavier-university-of-louisiana,Accounting,8
louisiana,xavier-university-of-louisiana,Sociology,7
louisiana,xavier-university-of-louisiana,Neuroscience and Neurobiology,6
louisiana,sowela-technical-community-college,Manufacturing Engineering Technician,452
louisiana,sowela-technical-community-college,Instrumentation Technician,338
louisiana,sowela-technical-community-college,Accounting Technician and Bookkeeping,172
louisiana,sowela-technical-community-college,Electrician,117
louisiana,sowela-technical-community-college,Commercial and Advertising Art,96
louisiana,sowela-technical-community-college,Culinary Arts and Food Service,96
louisiana,sowela-technical-community-college,Criminal Justice and Safety Studies,95
louisiana,sowela-technical-community-college,Licensed Practical Nurse Training (LPN),87
louisiana,sowela-technical-community-college,Information Technology,84
louisiana,sowela-technical-community-college,Drafting and Design (CAD/CADD),83
louisiana,northwestern-state-university-of-louisiana,Liberal Arts and Humanities,372
louisiana,northwestern-state-university-of-louisiana,Nursing,343
louisiana,northwestern-state-university-of-louisiana,Psychology,114
louisiana,northwestern-state-university-of-louisiana,Business,109
louisiana,northwestern-state-university-of-louisiana,Biology,78
louisiana,northwestern-state-university-of-louisiana,Radiologic Technician,67
louisiana,northwestern-state-university-of-louisiana,Criminal Justice and Safety Studies,55
louisiana,northwestern-state-university-of-louisiana,Social Work and Youth Services,45
louisiana,northwestern-state-university-of-louisiana,Physical Education Teaching and Coaching,31
louisiana,northwestern-state-university-of-louisiana,Manufacturing Engineering Technician,29
louisiana,university-of-louisiana---monroe,Psychology,138
louisiana,university-of-louisiana---monroe,Liberal Arts and Humanities,119
louisiana,university-of-louisiana---monroe,Nursing,102
louisiana,university-of-louisiana---monroe,Business,86
louisiana,university-of-louisiana---monroe,Kinesiology and Exercise Science,86
louisiana,university-of-louisiana---monroe,Pharmacy and Pharmaceutical Sciences,82
louisiana,university-of-louisiana---monroe,Health Professions,48
louisiana,university-of-louisiana---monroe,Communications,46
louisiana,university-of-louisiana---monroe,Biology,40
louisiana,university-of-louisiana---monroe,Elementary Education,37
