State,College,Major,Students
maine,bowdoin-college,Political Science and Government,108
maine,bowdoin-college,Economics,69
maine,bowdoin-college,Mathematics,54
maine,bowdoin-college,History,34
maine,bowdoin-college,Computer Science,30
maine,bowdoin-college,Environmental Science,30
maine,bowdoin-college,Biology,27
maine,bowdoin-college,European and Russian Studies,27
maine,bowdoin-college,Neuroscience and Neurobiology,27
maine,bowdoin-college,Research and Experimental Psychology,26
maine,colby-college,Economics,71
maine,colby-college,Environmental Science,55
maine,colby-college,Political Science and Government,55
maine,colby-college,International Studies,36
maine,colby-college,Computer Science,34
maine,colby-college,Mathematics,31
maine,colby-college,Psychology,31
maine,colby-college,History,24
maine,colby-college,Biology,18
maine,colby-college,North American Studies,18
maine,bates-college,Political Science and Government,74
maine,bates-college,Economics,63
maine,bates-college,Research and Experimental Psychology,52
maine,bates-college,English,36
maine,bates-college,Environmental Science,33
maine,bates-college,Biology,29
maine,bates-college,Mathematics,29
maine,bates-college,Sociology,21
maine,bates-college,Arts,20
maine,bates-college,Biochemistry and Molecular Biology,19
maine,maine-maritime-academy,Engineering,85
maine,maine-maritime-academy,Marine Science,51
maine,maine-maritime-academy,Engineering Technician,25
maine,maine-maritime-academy,International Business,23
maine,maine-maritime-academy,Biology,15
maine,maine-maritime-academy,Systems Engineering,8
maine,maine-maritime-academy,Liberal Arts and Humanities,4
