State,College,Major,Students
montana,montana-state-university,Business,273
montana,montana-state-university,Nursing,225
montana,montana-state-university,Family Studies and Consumer Sciences,194
montana,montana-state-university,Mechanical Engineering,162
montana,montana-state-university,Liberal Arts and Humanities,115
montana,montana-state-university,Chemical Engineering,112
montana,montana-state-university,Elementary Education,94
montana,montana-state-university,Civil Engineering,89
montana,montana-state-university,Computer Science,87
montana,montana-state-university,Biology,83
montana,montana-technological-university,Engineering,103
montana,montana-technological-university,Mining and Petroleum Engineering,65
montana,montana-technological-university,Mechanical Engineering,59
montana,montana-technological-university,Business,48
montana,montana-technological-university,Nursing,45
montana,montana-technological-university,Public Health,25
montana,montana-technological-university,Electrical Engineering,18
montana,montana-technological-university,Civil Engineering,17
montana,montana-technological-university,Biology,13
montana,montana-technological-university,Materials Engineering,12
montana,carroll-college,Nursing,46
montana,carroll-college,Health Service Preparatory Studies,27
montana,carroll-college,Biology,26
montana,carroll-college,Business,25
montana,carroll-college,Elementary Education,20
montana,carroll-college,Accounting,18
montana,carroll-college,Public Health Education,18
montana,carroll-college,Psychology,16
montana,carroll-college,Finance,15
montana,carroll-college,Biochemistry and Molecular Biology,13
