State,College,Major,Students
nevada,university-of-nevada---reno,"Foods, Nutrition, and Wellness Studies",434
nevada,university-of-nevada---reno,Psychology,236
nevada,university-of-nevada---reno,Business,198
nevada,university-of-nevada---reno,Biology,197
nevada,university-of-nevada---reno,Marketing,187
nevada,university-of-nevada---reno,Mechanical Engineering,168
nevada,university-of-nevada---reno,Criminology,161
nevada,university-of-nevada---reno,Nursing,147
nevada,university-of-nevada---reno,Human Development,145
nevada,university-of-nevada---reno,Finance,142
nevada,nevada-state-college,Nursing,254
nevada,nevada-state-college,Psychology,65
nevada,nevada-state-college,Business,52
nevada,nevada-state-college,Elementary Education,32
nevada,nevada-state-college,Biology,28
nevada,nevada-state-college,Police and Criminal Science,27
nevada,nevada-state-college,History,25
nevada,nevada-state-college,Speech Language Pathology,22
nevada,nevada-state-college,Special Education and Teaching,14
nevada,nevada-state-college,English,13
nevada,university-of-nevada-las-vegas,Hospitality and Tourism Management,577
nevada,university-of-nevada-las-vegas,Psychology,337
nevada,university-of-nevada-las-vegas,Criminal Justice and Safety Studies,283
nevada,university-of-nevada-las-vegas,Biology,244
nevada,university-of-nevada-las-vegas,Kinesiology and Exercise Science,239
nevada,university-of-nevada-las-vegas,Communications,190
nevada,university-of-nevada-las-vegas,Accounting,182
nevada,university-of-nevada-las-vegas,Finance,140
nevada,university-of-nevada-las-vegas,Nursing,135
nevada,university-of-nevada-las-vegas,Business,127
nevada,truckee-meadows-community-college,Lab Technician,444
nevada,truckee-meadows-community-college,Liberal Arts and Humanities,382
nevada,truckee-meadows-community-college,Emergency Medical Technician (EMT Paramedic),268
nevada,truckee-meadows-community-college,Nursing Assistant,236
nevada,truckee-meadows-community-college,Business,113
nevada,truckee-meadows-community-college,Welding,91
nevada,truckee-meadows-community-college,Medical Technician,82
nevada,truckee-meadows-community-college,Nursing,58
nevada,truckee-meadows-community-college,Automotive Mechanics,54
nevada,truckee-meadows-community-college,Real Estate,54
