State,College,Major,Students
new-mexico,new-mexico-military-institute,Liberal Arts and Humanities,121
new-mexico,new-mexico-tech,Mechanical Engineering,73
new-mexico,new-mexico-tech,Chemical Engineering,37
new-mexico,new-mexico-tech,Mining and Petroleum Engineering,27
new-mexico,new-mexico-tech,Computer Science,25
new-mexico,new-mexico-tech,Electrical Engineering,18
new-mexico,new-mexico-tech,Physics,14
new-mexico,new-mexico-tech,Materials Engineering,13
new-mexico,new-mexico-tech,Civil Engineering,11
new-mexico,new-mexico-tech,Biology,10
new-mexico,new-mexico-tech,Mathematics,10
new-mexico,new-mexico-state-university,Liberal Arts and Humanities,173
new-mexico,new-mexico-state-university,Criminal Justice and Safety Studies,156
new-mexico,new-mexico-state-university,Business,153
new-mexico,new-mexico-state-university,Mechanical Engineering,109
new-mexico,new-mexico-state-university,Nursing,106
new-mexico,new-mexico-state-university,Marketing,92
new-mexico,new-mexico-state-university,Psychology,92
new-mexico,new-mexico-state-university,Biology,73
new-mexico,new-mexico-state-university,Kinesiology and Exercise Science,68
new-mexico,new-mexico-state-university,Animal Sciences and Husbandry,62
new-mexico,new-mexico-junior-college,Liberal Arts and Humanities,295
new-mexico,new-mexico-junior-college,Nursing,47
new-mexico,new-mexico-junior-college,Police and Criminal Science,37
new-mexico,new-mexico-junior-college,Cosmetology,29
new-mexico,new-mexico-junior-college,Automotive Mechanics,25
new-mexico,new-mexico-junior-college,Kindergarten and Preschool Education,14
new-mexico,new-mexico-junior-college,Business,13
new-mexico,new-mexico-junior-college,Education,13
new-mexico,new-mexico-junior-college,Welding,8
new-mexico,new-mexico-junior-college,Information Science,3
new-mexico,eastern-new-mexico-university,Liberal Arts and Humanities,398
new-mexico,eastern-new-mexico-university,Speech Language Pathology,66
new-mexico,eastern-new-mexico-university,Business,64
new-mexico,eastern-new-mexico-university,Medical Social Work,40
new-mexico,eastern-new-mexico-university,Nursing,39
new-mexico,eastern-new-mexico-university,Criminal Justice and Safety Studies,34
new-mexico,eastern-new-mexico-university,Psychology,33
new-mexico,eastern-new-mexico-university,Biology,29
new-mexico,eastern-new-mexico-university,Physical Education Teaching and Coaching,26
new-mexico,eastern-new-mexico-university,Aviation Management and Operations,22
