State,College,Major,Students
ohio,case-western-reserve-university,Computer Science,115
ohio,case-western-reserve-university,Mechanical Engineering,115
ohio,case-western-reserve-university,Biology,82
ohio,case-western-reserve-university,Bioengineering and Biomedical Engineering,79
ohio,case-western-reserve-university,Chemical Engineering,61
ohio,case-western-reserve-university,Nursing,60
ohio,case-western-reserve-university,Psychology,57
ohio,case-western-reserve-university,Electrical Engineering,54
ohio,case-western-reserve-university,Accounting,51
ohio,case-western-reserve-university,Biochemistry and Molecular Biology,50
ohio,kenyon-college,English,57
ohio,kenyon-college,Economics,51
ohio,kenyon-college,Psychology,33
ohio,kenyon-college,Political Science and Government,29
ohio,kenyon-college,Biology,23
ohio,kenyon-college,History,23
ohio,kenyon-college,Mathematics,23
ohio,kenyon-college,Fine Arts,21
ohio,kenyon-college,Biochemistry and Molecular Biology,20
ohio,kenyon-college,Sociology,19
ohio,the-ohio-state-university,Finance,685
ohio,the-ohio-state-university,Communications,492
ohio,the-ohio-state-university,Psychology,490
ohio,the-ohio-state-university,Marketing,479
ohio,the-ohio-state-university,Accounting,448
ohio,the-ohio-state-university,Biology,414
ohio,the-ohio-state-university,Computer Hardware Engineering,296
ohio,the-ohio-state-university,Political Science and Government,294
ohio,the-ohio-state-university,Economics,293
ohio,the-ohio-state-university,Medical Assistant,289
ohio,denison-university,Economics,67
ohio,denison-university,Communications,58
ohio,denison-university,Research and Experimental Psychology,49
ohio,denison-university,Biology,42
ohio,denison-university,International Business,34
ohio,denison-university,Management Sciences and Information Systems,25
ohio,denison-university,Computer Science,24
ohio,denison-university,Environmental Science,24
ohio,denison-university,Education,23
ohio,denison-university,History,22
ohio,university-of-dayton,Mechanical Engineering,224
ohio,university-of-dayton,Marketing,189
ohio,university-of-dayton,Finance,159
ohio,university-of-dayton,Communications,127
ohio,university-of-dayton,Biology,89
ohio,university-of-dayton,Accounting,87
ohio,university-of-dayton,Psychology,85
ohio,university-of-dayton,Chemical Engineering,77
ohio,university-of-dayton,Pre-Medicine Studies,61
ohio,university-of-dayton,Early Childhood Education,59
ohio,university-of-cincinnati,Nursing,484
ohio,university-of-cincinnati,Marketing,442
ohio,university-of-cincinnati,Finance,270
ohio,university-of-cincinnati,Biology,268
ohio,university-of-cincinnati,Communications,256
ohio,university-of-cincinnati,Psychology,227
ohio,university-of-cincinnati,Mechanical Engineering,206
ohio,university-of-cincinnati,Criminal Justice and Safety Studies,199
ohio,university-of-cincinnati,Accounting,197
ohio,university-of-cincinnati,Medical Laboratory Technician,161
