State,College,Major,Students
ohio,muskingum-university,Psychology,32
ohio,muskingum-university,Business,28
ohio,muskingum-university,Nursing,28
ohio,muskingum-university,Biology,21
ohio,muskingum-university,Health Professions,21
ohio,muskingum-university,Criminal Justice and Corrections,16
ohio,muskingum-university,History,15
ohio,muskingum-university,English,14
ohio,muskingum-university,Physical Education Teaching and Coaching,12
ohio,muskingum-university,Early Childhood Education,11
ohio,heidelberg-university,Business,45
ohio,heidelberg-university,Biology,23
ohio,heidelberg-university,Sport and Fitness Management,22
ohio,heidelberg-university,Psychology,20
ohio,heidelberg-university,Communications,16
ohio,heidelberg-university,Health Service Preparatory Studies,15
ohio,heidelberg-university,Accounting,12
ohio,heidelberg-university,Criminology,10
ohio,heidelberg-university,Early Childhood Education,10
ohio,heidelberg-university,Political Science and Government,8
ohio,youngstown-state-university,Liberal Arts and Humanities,130
ohio,youngstown-state-university,Nursing,115
ohio,youngstown-state-university,Criminal Justice and Safety Studies,113
ohio,youngstown-state-university,Biology,94
ohio,youngstown-state-university,Business,90
ohio,youngstown-state-university,Social Work and Youth Services,90
ohio,youngstown-state-university,Mechanical Engineering,58
ohio,youngstown-state-university,Psychology,57
ohio,youngstown-state-university,Rhetoric and Composition,46
ohio,youngstown-state-university,Finance,44
ohio,ohio-wesleyan-university,Business,31
ohio,ohio-wesleyan-university,Psychology,28
ohio,ohio-wesleyan-university,Zoology and Entomology,24
ohio,ohio-wesleyan-university,Accounting,20
ohio,ohio-wesleyan-university,Political Science and Government,18
ohio,ohio-wesleyan-university,Sociology,14
ohio,ohio-wesleyan-university,Spanish Language and Literature,14
ohio,ohio-wesleyan-university,Kinesiology and Exercise Science,13
ohio,ohio-wesleyan-university,Neuroscience and Neurobiology,13
ohio,ohio-wesleyan-university,Biology,12
