State,College,Major,Students
oklahoma,the-university-of-tulsa,Mining and Petroleum Engineering,72
oklahoma,the-university-of-tulsa,Mechanical Engineering,60
oklahoma,the-university-of-tulsa,Finance,54
oklahoma,the-university-of-tulsa,Chemical Engineering,37
oklahoma,the-university-of-tulsa,Computer Science,36
oklahoma,the-university-of-tulsa,Accounting,34
oklahoma,the-university-of-tulsa,Business,34
oklahoma,the-university-of-tulsa,Psychology,34
oklahoma,the-university-of-tulsa,Management Sciences and Information Systems,28
oklahoma,the-university-of-tulsa,Biology,26
oklahoma,oklahoma-state-university,Business,425
oklahoma,oklahoma-state-university,Marketing,304
oklahoma,oklahoma-state-university,Mechanical Engineering,258
oklahoma,oklahoma-state-university,Liberal Arts and Humanities,254
oklahoma,oklahoma-state-university,Animal Sciences and Husbandry,234
oklahoma,oklahoma-state-university,Finance,187
oklahoma,oklahoma-state-university,Psychology,172
oklahoma,oklahoma-state-university,Agricultural Business,152
oklahoma,oklahoma-state-university,Accounting,147
oklahoma,oklahoma-state-university,Human Development,128
oklahoma,university-of-oklahoma,Liberal Arts and Humanities,446
oklahoma,university-of-oklahoma,Finance,207
oklahoma,university-of-oklahoma,Organizational Behavior Studies,196
oklahoma,university-of-oklahoma,Psychology,193
oklahoma,university-of-oklahoma,Zoology and Entomology,193
oklahoma,university-of-oklahoma,Accounting,184
oklahoma,university-of-oklahoma,Mechanical Engineering,164
oklahoma,university-of-oklahoma,Marketing,159
oklahoma,university-of-oklahoma,Kinesiology and Exercise Science,158
oklahoma,university-of-oklahoma,Journalism,153
oklahoma,oral-roberts-university,Psychology,45
oklahoma,oral-roberts-university,"Divinity, Ministry, and Pre-Theology",41
oklahoma,oral-roberts-university,Nursing,39
oklahoma,oral-roberts-university,Business,37
oklahoma,oral-roberts-university,Biology,29
oklahoma,oral-roberts-university,Communications,26
oklahoma,oral-roberts-university,Pastoral Counseling and Specialized Ministries,26
oklahoma,oral-roberts-university,Engineering,24
oklahoma,oral-roberts-university,Marketing,20
oklahoma,oral-roberts-university,Sport and Fitness Management,18
oklahoma,oklahoma-city-university,Adult Health Nursing,174
oklahoma,oklahoma-city-university,Liberal Arts and Humanities,61
oklahoma,oklahoma-city-university,Music Performance,52
oklahoma,oklahoma-city-university,Acting,29
oklahoma,oklahoma-city-university,Dance,25
oklahoma,oklahoma-city-university,Kinesiology and Exercise Science,16
oklahoma,oklahoma-city-university,Accounting,12
oklahoma,oklahoma-city-university,Business,12
oklahoma,oklahoma-city-university,Biomedical Sciences and Molecular Medicine,11
oklahoma,oklahoma-city-university,Drama and Theatre Production,10
