State,College,Major,Students
oregon,reed-college,Economics,29
oregon,reed-college,Biology,27
oregon,reed-college,History,21
oregon,reed-college,Psychology,21
oregon,reed-college,English,20
oregon,reed-college,Liberal Arts and Humanities,18
oregon,reed-college,Physics,17
oregon,reed-college,Political Science and Government,17
oregon,reed-college,Anthropology,15
oregon,reed-college,Arts,15
oregon,university-of-portland,Nursing,208
oregon,university-of-portland,Biology,103
oregon,university-of-portland,Mechanical Engineering,71
oregon,university-of-portland,Psychology,54
oregon,university-of-portland,Marketing,53
oregon,university-of-portland,Management Sciences and Information Systems,44
oregon,university-of-portland,Spanish Language and Literature,39
oregon,university-of-portland,Computational and Applied Mathematics,34
oregon,university-of-portland,Computer Science,34
oregon,university-of-portland,Corporate Communications,31
oregon,university-of-oregon,Business,526
oregon,university-of-oregon,Economics,398
oregon,university-of-oregon,Social Science Research Methods,391
oregon,university-of-oregon,Advertising,317
oregon,university-of-oregon,Psychology,305
oregon,university-of-oregon,Physiology and Pathology,230
oregon,university-of-oregon,Public Relations,213
oregon,university-of-oregon,Political Science and Government,198
oregon,university-of-oregon,Sociology,149
oregon,university-of-oregon,Journalism,145
oregon,oregon-state-university,Computer Science,681
oregon,oregon-state-university,Business,421
oregon,oregon-state-university,Human Development,283
oregon,oregon-state-university,Mechanical Engineering,263
oregon,oregon-state-university,Kinesiology and Exercise Science,233
oregon,oregon-state-university,Psychology,192
oregon,oregon-state-university,Public Health,171
oregon,oregon-state-university,Finance,167
oregon,oregon-state-university,Biology,163
oregon,oregon-state-university,Health Service Preparatory Studies,143
oregon,willamette-university,Economics,62
oregon,willamette-university,Biology,39
oregon,willamette-university,Environmental Science,33
oregon,willamette-university,Political Science and Government,31
oregon,willamette-university,Psychology,27
oregon,willamette-university,Chemistry,26
oregon,willamette-university,Communications,26
oregon,willamette-university,English,26
oregon,willamette-university,History,20
oregon,willamette-university,Sociology,20
oregon,pacific-university-oregon,Business,70
oregon,pacific-university-oregon,Kinesiology and Exercise Science,48
oregon,pacific-university-oregon,Biology,33
oregon,pacific-university-oregon,Dental Hygiene,30
oregon,pacific-university-oregon,Communications,24
oregon,pacific-university-oregon,Education,22
oregon,pacific-university-oregon,Psychology,22
oregon,pacific-university-oregon,Public Health,22
oregon,pacific-university-oregon,Computer Science,18
oregon,pacific-university-oregon,Healthcare Management,18
oregon,oregon-institute-of-technology,Sonographer and Ultrasound Technician,86
oregon,oregon-institute-of-technology,Computer Engineering Technician,70
oregon,oregon-institute-of-technology,Medical Technician,57
oregon,oregon-institute-of-technology,Dental Hygiene,55
oregon,oregon-institute-of-technology,Mechanical Engineering,55
oregon,oregon-institute-of-technology,Electrical Engineering,51
oregon,oregon-institute-of-technology,Radiologic Technician,50
oregon,oregon-institute-of-technology,Psychology,34
oregon,oregon-institute-of-technology,Information Technology,31
oregon,oregon-institute-of-technology,Biology,26
