State,College,Major,Students
pennsylvania,university-of-pennsylvania,Finance,406
pennsylvania,university-of-pennsylvania,Management Sciences and Information Systems,198
pennsylvania,university-of-pennsylvania,Philosophy,192
pennsylvania,university-of-pennsylvania,Nursing,187
pennsylvania,university-of-pennsylvania,Economics,183
pennsylvania,university-of-pennsylvania,Business,180
pennsylvania,university-of-pennsylvania,Biology,167
pennsylvania,university-of-pennsylvania,Political Science and Government,152
pennsylvania,university-of-pennsylvania,Information Science,144
pennsylvania,university-of-pennsylvania,Neuroscience and Neurobiology,116
pennsylvania,carnegie-mellon-university,Computer Science,205
pennsylvania,carnegie-mellon-university,Electrical Engineering,190
pennsylvania,carnegie-mellon-university,Mechanical Engineering,152
pennsylvania,carnegie-mellon-university,Statistics,131
pennsylvania,carnegie-mellon-university,Business,129
pennsylvania,carnegie-mellon-university,Systems Science and Theory,98
pennsylvania,carnegie-mellon-university,Chemical Engineering,64
pennsylvania,carnegie-mellon-university,Mathematics,64
pennsylvania,carnegie-mellon-university,Bioengineering and Biomedical Engineering,56
pennsylvania,carnegie-mellon-university,Drama and Theatre Production,54
pennsylvania,haverford-college,Political Science and Government,40
pennsylvania,haverford-college,Economics,35
pennsylvania,haverford-college,Biology,29
pennsylvania,haverford-college,Chemistry,29
pennsylvania,haverford-college,Psychology,24
pennsylvania,haverford-college,Information Science,23
pennsylvania,haverford-college,English,22
pennsylvania,haverford-college,Mathematics,20
pennsylvania,haverford-college,History,15
pennsylvania,haverford-college,Physics,13
pennsylvania,swarthmore-college,Economics,82
pennsylvania,swarthmore-college,Mathematics,54
pennsylvania,swarthmore-college,Information Science,49
pennsylvania,swarthmore-college,Biology,47
pennsylvania,swarthmore-college,Political Science and Government,42
pennsylvania,swarthmore-college,Research and Experimental Psychology,33
pennsylvania,swarthmore-college,Engineering,31
pennsylvania,swarthmore-college,English,18
pennsylvania,swarthmore-college,"Linguistics, Interpretation, and Translation",17
pennsylvania,swarthmore-college,Studio Arts,17
pennsylvania,villanova-university,Finance,265
pennsylvania,villanova-university,Nursing,248
pennsylvania,villanova-university,Communications,168
pennsylvania,villanova-university,Management Sciences and Information Systems,148
pennsylvania,villanova-university,Accounting,134
pennsylvania,villanova-university,Economics,124
pennsylvania,villanova-university,Political Science and Government,104
pennsylvania,villanova-university,Psychology,101
pennsylvania,villanova-university,Biology,87
pennsylvania,villanova-university,Mechanical Engineering,78
pennsylvania,lehigh-university,Finance,201
pennsylvania,lehigh-university,Mechanical Engineering,111
pennsylvania,lehigh-university,Computer Science,98
pennsylvania,lehigh-university,Accounting,71
pennsylvania,lehigh-university,Marketing,67
pennsylvania,lehigh-university,Industrial Engineering,60
pennsylvania,lehigh-university,Managerial Economics,52
pennsylvania,lehigh-university,Biology,48
pennsylvania,lehigh-university,Chemical Engineering,44
pennsylvania,lehigh-university,Bioengineering and Biomedical Engineering,42
pennsylvania,lafayette-college,Economics,129
pennsylvania,lafayette-college,Political Science and Government,81
pennsylvania,lafayette-college,Psychology,62
pennsylvania,lafayette-college,Mechanical Engineering,50
pennsylvania,lafayette-college,Biology,47
pennsylvania,lafayette-college,English,38
pennsylvania,lafayette-college,Chemical Engineering,31
pennsylvania,lafayette-college,International Relations,30
pennsylvania,lafayette-college,Engineering,29
pennsylvania,lafayette-college,Sociology,29
pennsylvania,bucknell-university,Economics,123
pennsylvania,bucknell-university,Accounting,79
pennsylvania,bucknell-university,Psychology,75
pennsylvania,bucknell-university,Political Science and Government,69
pennsylvania,bucknell-university,Biology,57
pennsylvania,bucknell-university,Marketing,41
pennsylvania,bucknell-university,Computer Hardware Engineering,33
pennsylvania,bucknell-university,Mechanical Engineering,30
pennsylvania,bucknell-university,Chemical Engineering,28
pennsylvania,bucknell-university,Environmental Science,26
pennsylvania,penn-state,Information Science,778
pennsylvania,penn-state,Biology,549
pennsylvania,penn-state,Economics,526
pennsylvania,penn-state,Finance,473
pennsylvania,penn-state,Accounting,394
pennsylvania,penn-state,Computer and Information Systems Security,389
pennsylvania,penn-state,Business Support Services,386
pennsylvania,penn-state,Psychology,364
pennsylvania,penn-state,Mechanical Engineering,351
pennsylvania,penn-state,Public Relations,296
pennsylvania,bryn-mawr-college,Psychology,43
pennsylvania,bryn-mawr-college,Mathematics,35
pennsylvania,bryn-mawr-college,English,32
pennsylvania,bryn-mawr-college,Sociology,29
pennsylvania,bryn-mawr-college,Biology,21
pennsylvania,bryn-mawr-college,International Studies,21
pennsylvania,bryn-mawr-college,Political Science and Government,17
pennsylvania,bryn-mawr-college,Art History,15
pennsylvania,bryn-mawr-college,Chemistry,15
pennsylvania,bryn-mawr-college,History,15
