State,College,Major,Students
pennsylvania,muhlenberg-college,Drama and Theatre Production,86
pennsylvania,muhlenberg-college,Business,80
pennsylvania,muhlenberg-college,Communications,77
pennsylvania,muhlenberg-college,Psychology,60
pennsylvania,muhlenberg-college,Finance,59
pennsylvania,muhlenberg-college,Biology,43
pennsylvania,muhlenberg-college,Neuroscience and Neurobiology,35
pennsylvania,muhlenberg-college,English,28
pennsylvania,muhlenberg-college,Dance,27
pennsylvania,muhlenberg-college,Political Science and Government,23
pennsylvania,university-of-the-sciences,Pharmacy and Pharmaceutical Sciences,128
pennsylvania,university-of-the-sciences,Health Service Preparatory Studies,63
pennsylvania,university-of-the-sciences,Biomedical Sciences and Molecular Medicine,32
pennsylvania,university-of-the-sciences,Biology,16
pennsylvania,university-of-the-sciences,Pharmacology and Toxicology,11
pennsylvania,university-of-the-sciences,Chemistry,10
pennsylvania,university-of-the-sciences,Healthcare Management,9
pennsylvania,university-of-the-sciences,Medical Laboratory Technician,8
pennsylvania,university-of-the-sciences,Biochemistry and Molecular Biology,7
pennsylvania,university-of-the-sciences,Microbiology,3
pennsylvania,allegheny-college,Psychology,60
pennsylvania,allegheny-college,Biology,42
pennsylvania,allegheny-college,Economics,42
pennsylvania,allegheny-college,Environmental Science,41
pennsylvania,allegheny-college,Communications,31
pennsylvania,allegheny-college,Neuroscience and Neurobiology,29
pennsylvania,allegheny-college,History,24
pennsylvania,allegheny-college,Political Science and Government,22
pennsylvania,allegheny-college,Public Health,22
pennsylvania,allegheny-college,Computer Science,19
pennsylvania,susquehanna-university,Communications,79
pennsylvania,susquehanna-university,Finance,41
pennsylvania,susquehanna-university,Creative Writing,39
pennsylvania,susquehanna-university,Psychology,38
pennsylvania,susquehanna-university,Biology,31
pennsylvania,susquehanna-university,Marketing,26
pennsylvania,susquehanna-university,Early Childhood Education,25
pennsylvania,susquehanna-university,Business,23
pennsylvania,susquehanna-university,Accounting,21
pennsylvania,susquehanna-university,Political Science and Government,20
pennsylvania,gannon-university,Health Professions,97
pennsylvania,gannon-university,Nursing,72
pennsylvania,gannon-university,Kinesiology and Exercise Science,34
pennsylvania,gannon-university,Biology,30
pennsylvania,gannon-university,Mechanical Engineering,29
pennsylvania,gannon-university,Criminal Justice and Safety Studies,19
pennsylvania,gannon-university,Accounting,18
pennsylvania,gannon-university,Bioengineering and Biomedical Engineering,17
pennsylvania,gannon-university,Electrical Engineering,17
pennsylvania,gannon-university,Marketing,17
pennsylvania,juniata-college,Biology,43
pennsylvania,juniata-college,Environmental Science,38
pennsylvania,juniata-college,Communications,22
pennsylvania,juniata-college,Psychology,22
pennsylvania,juniata-college,Business,17
pennsylvania,juniata-college,Social Work and Youth Services,16
pennsylvania,juniata-college,Chemistry,11
pennsylvania,juniata-college,Biochemistry and Molecular Biology,10
pennsylvania,juniata-college,Accounting,9
pennsylvania,juniata-college,Natural Resources Conservation and Management,9
pennsylvania,saint-vincent-college---pennsylvania,Marketing,33
pennsylvania,saint-vincent-college---pennsylvania,Biology,31
pennsylvania,saint-vincent-college---pennsylvania,Criminology,29
pennsylvania,saint-vincent-college---pennsylvania,Business,27
pennsylvania,saint-vincent-college---pennsylvania,Communications,24
pennsylvania,saint-vincent-college---pennsylvania,Engineering,24
pennsylvania,saint-vincent-college---pennsylvania,Early Childhood Education,20
pennsylvania,saint-vincent-college---pennsylvania,Information Science,16
pennsylvania,saint-vincent-college---pennsylvania,Mathematics,16
pennsylvania,saint-vincent-college---pennsylvania,History,15
pennsylvania,ursinus-college,Biology,51
pennsylvania,ursinus-college,Economics,43
pennsylvania,ursinus-college,Psychology,40
pennsylvania,ursinus-college,Exercise Physiology,38
pennsylvania,ursinus-college,Communications,30
pennsylvania,ursinus-college,English,19
pennsylvania,ursinus-college,Biochemistry and Molecular Biology,17
pennsylvania,ursinus-college,Neuroscience and Neurobiology,17
pennsylvania,ursinus-college,Mathematics,16
pennsylvania,ursinus-college,Computer Science,15
