State,College,Major,Students
rhode-island,brown-university,Computer Science,185
rhode-island,brown-university,Biology,183
rhode-island,brown-university,Economics,162
rhode-island,brown-university,Computational and Applied Mathematics,146
rhode-island,brown-university,Entrepreneurship,91
rhode-island,brown-university,History,87
rhode-island,brown-university,Engineering,86
rhode-island,brown-university,English,84
rhode-island,brown-university,Political Science and Government,72
rhode-island,brown-university,International Relations,61
rhode-island,rhode-island-school-of-design,Systems Science and Theory,86
rhode-island,rhode-island-school-of-design,Illustration,83
rhode-island,rhode-island-school-of-design,Graphic Design,58
rhode-island,rhode-island-school-of-design,Architecture,55
rhode-island,rhode-island-school-of-design,Painting,42
rhode-island,rhode-island-school-of-design,Cinematography and Video Production,41
rhode-island,rhode-island-school-of-design,Interior Design,30
rhode-island,rhode-island-school-of-design,Arts,23
rhode-island,rhode-island-school-of-design,Apparel and Textile Science,22
rhode-island,rhode-island-school-of-design,Sculpture,19
