State,College,Major,Students
south-carolina,clemson-university,Business,330
south-carolina,clemson-university,Marketing,309
south-carolina,clemson-university,Psychology,283
south-carolina,clemson-university,Biology,280
south-carolina,clemson-university,Mechanical Engineering,245
south-carolina,clemson-university,Industrial Engineering,226
south-carolina,clemson-university,Nursing,163
south-carolina,clemson-university,Information Science,157
south-carolina,clemson-university,Finance,142
south-carolina,clemson-university,Accounting,141
south-carolina,furman-university,Business,79
south-carolina,furman-university,Communications,65
south-carolina,furman-university,Political Science and Government,60
south-carolina,furman-university,Health Professions,49
south-carolina,furman-university,Psychology,40
south-carolina,furman-university,Biology,37
south-carolina,furman-university,Religious Studies,25
south-carolina,furman-university,Economics,24
south-carolina,furman-university,Accounting,22
south-carolina,furman-university,History,22
south-carolina,university-of-south-carolina,Finance,557
south-carolina,university-of-south-carolina,Marketing,457
south-carolina,university-of-south-carolina,Business,346
south-carolina,university-of-south-carolina,Public Health,317
south-carolina,university-of-south-carolina,Biology,288
south-carolina,university-of-south-carolina,Management Sciences and Information Systems,275
south-carolina,university-of-south-carolina,Research and Experimental Psychology,261
south-carolina,university-of-south-carolina,Exercise Physiology,233
south-carolina,university-of-south-carolina,Nursing,223
south-carolina,university-of-south-carolina,Criminal Justice and Law Enforcement Administration,204
south-carolina,wofford-college,Biology,59
south-carolina,wofford-college,Finance,49
south-carolina,wofford-college,English,37
south-carolina,wofford-college,Psychology,35
south-carolina,wofford-college,Spanish Language and Literature,34
south-carolina,wofford-college,Accounting,31
south-carolina,wofford-college,Political Science and Government,30
south-carolina,wofford-college,Managerial Economics,25
south-carolina,wofford-college,International Relations,19
south-carolina,wofford-college,Environmental Science,17
south-carolina,citadel-military-college-of-south-carolina,Business,163
south-carolina,citadel-military-college-of-south-carolina,Criminal Justice and Law Enforcement Administration,64
south-carolina,citadel-military-college-of-south-carolina,Mechanical Engineering,63
south-carolina,citadel-military-college-of-south-carolina,Civil Engineering,55
south-carolina,citadel-military-college-of-south-carolina,Political Science and Government,48
south-carolina,citadel-military-college-of-south-carolina,Electrical Engineering,37
south-carolina,citadel-military-college-of-south-carolina,Kinesiology and Exercise Science,33
south-carolina,citadel-military-college-of-south-carolina,Foreign Languages and Literatures,25
south-carolina,citadel-military-college-of-south-carolina,Biology,24
south-carolina,citadel-military-college-of-south-carolina,Nursing,21
south-carolina,bob-jones-university,Business,41
south-carolina,bob-jones-university,Health Service Preparatory Studies,29
south-carolina,bob-jones-university,Accounting,27
south-carolina,bob-jones-university,Nursing,27
south-carolina,bob-jones-university,Communications,24
south-carolina,bob-jones-university,Biology,21
south-carolina,bob-jones-university,Theological and Ministerial Studies,21
south-carolina,bob-jones-university,Elementary Education,20
south-carolina,bob-jones-university,Engineering,19
south-carolina,bob-jones-university,Graphic Design,19
south-carolina,southern-wesleyan-university,Business,116
south-carolina,southern-wesleyan-university,Human Services,41
south-carolina,southern-wesleyan-university,Liberal Arts and Humanities,32
south-carolina,southern-wesleyan-university,Biology,17
south-carolina,southern-wesleyan-university,Criminology,15
south-carolina,southern-wesleyan-university,Religious Studies,11
south-carolina,southern-wesleyan-university,Kinesiology and Exercise Science,10
south-carolina,southern-wesleyan-university,"Parks, Recreation and Leisure Studies",9
south-carolina,southern-wesleyan-university,Psychology,9
south-carolina,southern-wesleyan-university,Chemistry,7
