State,College,Major,Students
south-dakota,augustana-university,Nursing,62
south-dakota,augustana-university,Business,48
south-dakota,augustana-university,Biology,40
south-dakota,augustana-university,Elementary Education,29
south-dakota,augustana-university,Accounting,16
south-dakota,augustana-university,English,16
south-dakota,augustana-university,Psychology,16
south-dakota,augustana-university,Economics,13
south-dakota,augustana-university,Sociology,13
south-dakota,augustana-university,Spanish Language and Literature,13
south-dakota,lake-area-technical-college,Agricultural Business,117
south-dakota,lake-area-technical-college,Diesel Mechanics,66
south-dakota,lake-area-technical-college,Human Services,64
south-dakota,lake-area-technical-college,Welding,63
south-dakota,lake-area-technical-college,Licensed Practical Nurse Training (LPN),57
south-dakota,lake-area-technical-college,Automotive Mechanics,54
south-dakota,lake-area-technical-college,Marketing,41
south-dakota,lake-area-technical-college,Dental Assisting,36
south-dakota,lake-area-technical-college,Construction and Heavy Equipment Operation,28
south-dakota,lake-area-technical-college,Robotics and Automation Engineering Technician,28
