State,College,Major,Students
tennessee,vanderbilt-university,Economics,297
tennessee,vanderbilt-university,Social Science Research Methods,223
tennessee,vanderbilt-university,Liberal Arts and Humanities,217
tennessee,vanderbilt-university,Mathematics,126
tennessee,vanderbilt-university,Computer Science,114
tennessee,vanderbilt-university,Neuroscience and Neurobiology,113
tennessee,vanderbilt-university,Political Science and Government,110
tennessee,vanderbilt-university,Mechanical Engineering,77
tennessee,vanderbilt-university,History,70
tennessee,vanderbilt-university,Spanish Language and Literature,67
tennessee,rhodes-college,Business,90
tennessee,rhodes-college,Biology,52
tennessee,rhodes-college,Computer Science,40
tennessee,rhodes-college,Political Science and Government,35
tennessee,rhodes-college,International Relations,34
tennessee,rhodes-college,Neuroscience and Neurobiology,29
tennessee,rhodes-college,Psychology,29
tennessee,rhodes-college,Chemistry,26
tennessee,rhodes-college,Economics,26
tennessee,rhodes-college,English,26
tennessee,union-university,Nursing,181
tennessee,union-university,Business,95
tennessee,union-university,Liberal Arts and Humanities,47
tennessee,union-university,Social Work and Youth Services,35
tennessee,union-university,Biology,13
tennessee,union-university,Marketing,13
tennessee,union-university,Psychology,13
tennessee,union-university,Studio Arts,13
tennessee,union-university,Elementary Education,10
tennessee,union-university,English,10
tennessee,sewanee---the-university-of-the-south,Economics,61
tennessee,sewanee---the-university-of-the-south,Psychology,50
tennessee,sewanee---the-university-of-the-south,Political Science and Government,41
tennessee,sewanee---the-university-of-the-south,English,40
tennessee,sewanee---the-university-of-the-south,Biology,33
tennessee,sewanee---the-university-of-the-south,History,30
tennessee,sewanee---the-university-of-the-south,International Studies,26
tennessee,sewanee---the-university-of-the-south,Natural Resources Conservation and Management,19
tennessee,sewanee---the-university-of-the-south,Sustainability Studies,16
tennessee,sewanee---the-university-of-the-south,Art History,11
tennessee,university-of-tennessee,Logistics and Supply Chain Management,402
tennessee,university-of-tennessee,Psychology,277
tennessee,university-of-tennessee,Nursing,227
tennessee,university-of-tennessee,Marketing,210
tennessee,university-of-tennessee,Kinesiology and Exercise Science,206
tennessee,university-of-tennessee,Finance,201
tennessee,university-of-tennessee,Biology,185
tennessee,university-of-tennessee,Liberal Arts and Humanities,174
tennessee,university-of-tennessee,Political Science and Government,173
tennessee,university-of-tennessee,Accounting,160
tennessee,lipscomb-university,Psychology,61
tennessee,lipscomb-university,Biology,55
tennessee,lipscomb-university,Nursing,53
tennessee,lipscomb-university,Human Resources,38
tennessee,lipscomb-university,Business,37
tennessee,lipscomb-university,Marketing,33
tennessee,lipscomb-university,Professional and Technical Writing,29
tennessee,lipscomb-university,Accounting,28
tennessee,lipscomb-university,Liberal Arts and Humanities,28
tennessee,lipscomb-university,Elementary Education,27
tennessee,johnson-university,Biblical Studies,183
tennessee,johnson-university,"Divinity, Ministry, and Pre-Theology",54
tennessee,johnson-university,Marriage and Family Therapy and Counseling,23
tennessee,johnson-university,Missionary Studies,23
tennessee,johnson-university,Communications,16
tennessee,johnson-university,Religious Vocations,16
tennessee,johnson-university,Business,13
tennessee,johnson-university,Elementary Education,11
tennessee,johnson-university,Physical Education Teaching and Coaching,8
tennessee,johnson-university,History,7
tennessee,university-of-memphis,Liberal Arts and Humanities,363
tennessee,university-of-memphis,Nursing,310
tennessee,university-of-memphis,Kinesiology and Exercise Science,280
tennessee,university-of-memphis,Psychology,171
tennessee,university-of-memphis,Accounting,138
tennessee,university-of-memphis,Business,122
tennessee,university-of-memphis,Criminal Justice and Law Enforcement Administration,113
tennessee,university-of-memphis,Marketing,93
tennessee,university-of-memphis,Middle School Education,87
tennessee,university-of-memphis,Biology,78
tennessee,tennessee-college-of-applied-technology---newbern,Licensed Practical Nurse Training (LPN),65
tennessee,tennessee-college-of-applied-technology---newbern,Cosmetology,26
tennessee,tennessee-college-of-applied-technology---newbern,Heavy Equipment Maintenance Technician,20
tennessee,tennessee-college-of-applied-technology---newbern,Welding,19
tennessee,tennessee-college-of-applied-technology---newbern,HVAC and Refrigeration Engineering Technician,15
tennessee,tennessee-college-of-applied-technology---newbern,Electronics Equipment Installation and Repair,14
tennessee,tennessee-college-of-applied-technology---newbern,Automotive Mechanics,11
tennessee,tennessee-college-of-applied-technology---newbern,Drafting and Design (CAD/CADD),11
tennessee,tennessee-college-of-applied-technology---newbern,"Truck,  Bus, and Commercial Vehicle Operation",10
tennessee,tennessee-college-of-applied-technology---newbern,Machine and Metal Working,8
tennessee,king-university---tennessee,Business,171
tennessee,king-university---tennessee,Adult Health Nursing,99
tennessee,king-university---tennessee,Psychology,42
tennessee,king-university---tennessee,Healthcare Management,33
tennessee,king-university---tennessee,Information Technology,33
tennessee,king-university---tennessee,Criminal Justice and Safety Studies,26
tennessee,king-university---tennessee,Social Work and Youth Services,20
tennessee,king-university---tennessee,Liberal Arts and Humanities,16
tennessee,king-university---tennessee,Biology,13
tennessee,king-university---tennessee,Communications,13
