State,College,Major,Students
texas,rice-university,Information Science,120
texas,rice-university,Economics,94
texas,rice-university,Mechanical Engineering,67
texas,rice-university,Cognitive Science,64
texas,rice-university,Biochemistry and Molecular Biology,60
texas,rice-university,Kinesiology and Exercise Science,57
texas,rice-university,Chemical Engineering,53
texas,rice-university,Psychology,51
texas,rice-university,Sport and Fitness Management,45
texas,rice-university,Electrical Engineering,44
texas,university-of-texas---austin,Business,853
texas,university-of-texas---austin,Biology,638
texas,university-of-texas---austin,Economics,532
texas,university-of-texas---austin,Information Science,491
texas,university-of-texas---austin,Liberal Arts and Humanities,416
texas,university-of-texas---austin,Psychology,395
texas,university-of-texas---austin,Political Science and Government,366
texas,university-of-texas---austin,Electrical Engineering,339
texas,university-of-texas---austin,Finance,331
texas,university-of-texas---austin,Biochemistry and Molecular Biology,304
texas,southern-methodist-university,Finance,250
texas,southern-methodist-university,Economics,185
texas,southern-methodist-university,Accounting,98
texas,southern-methodist-university,Mathematics,93
texas,southern-methodist-university,Biology,85
texas,southern-methodist-university,Psychology,82
texas,southern-methodist-university,Sport and Fitness Management,79
texas,southern-methodist-university,Marketing,69
texas,southern-methodist-university,Mechanical Engineering,63
texas,southern-methodist-university,Public Relations,53
texas,trinity-university,Engineering Science,44
texas,trinity-university,Communications,39
texas,trinity-university,Accounting,31
texas,trinity-university,Biology,30
texas,trinity-university,Information Science,30
texas,trinity-university,Marketing,30
texas,trinity-university,Management Sciences and Information Systems,27
texas,trinity-university,Spanish Language and Literature,27
texas,trinity-university,Economics,26
texas,trinity-university,English,25
