State,College,Major,Students
texas,texas-state-university,Liberal Arts and Humanities,735
texas,texas-state-university,Business,454
texas,texas-state-university,Psychology,448
texas,texas-state-university,Kinesiology and Exercise Science,392
texas,texas-state-university,Marketing,334
texas,texas-state-university,Finance,238
texas,texas-state-university,Public Relations,235
texas,texas-state-university,Criminal Justice and Safety Studies,219
texas,texas-state-university,Computer Science,210
texas,texas-state-university,English,181
texas,san-jacinto-college,Liberal Arts and Humanities,1088
texas,san-jacinto-college,Business,747
texas,san-jacinto-college,Natural Sciences,444
texas,san-jacinto-college,Lab Technician,430
texas,san-jacinto-college,Welding,427
texas,san-jacinto-college,Behavioral Sciences,269
texas,san-jacinto-college,Information Science,268
texas,san-jacinto-college,Education,245
texas,san-jacinto-college,Drafting and Design (CAD/CADD),217
texas,san-jacinto-college,Instrumentation Technician,193
texas,university-of-texas---rio-grande-valley,Biology,507
texas,university-of-texas---rio-grande-valley,Criminal Justice and Law Enforcement Administration,462
texas,university-of-texas---rio-grande-valley,Psychology,358
texas,university-of-texas---rio-grande-valley,Liberal Arts and Humanities,342
texas,university-of-texas---rio-grande-valley,Rehabilitation and Therapy,225
texas,university-of-texas---rio-grande-valley,Kinesiology and Exercise Science,224
texas,university-of-texas---rio-grande-valley,Business,211
texas,university-of-texas---rio-grande-valley,Accounting,182
texas,university-of-texas---rio-grande-valley,Social Work and Youth Services,158
texas,university-of-texas---rio-grande-valley,Mechanical Engineering,143
texas,university-of-texas---tyler,Nursing,448
texas,university-of-texas---tyler,Liberal Arts and Humanities,211
texas,university-of-texas---tyler,Mechanical Engineering,208
texas,university-of-texas---tyler,Psychology,103
texas,university-of-texas---tyler,Business,102
texas,university-of-texas---tyler,Kinesiology and Exercise Science,90
texas,university-of-texas---tyler,Biology,55
texas,university-of-texas---tyler,Finance,55
texas,university-of-texas---tyler,Electrical Engineering,54
texas,university-of-texas---tyler,Human Resources,48
texas,lamar-institute-of-technology,Lab Technician,135
texas,lamar-institute-of-technology,Instrumentation Technician,80
texas,lamar-institute-of-technology,Police and Criminal Science,53
texas,lamar-institute-of-technology,Computer Systems Technician,39
texas,lamar-institute-of-technology,Fire Science and Fire Fighting,34
texas,lamar-institute-of-technology,Welding,29
texas,lamar-institute-of-technology,Occupational Safety and Health Technician,28
texas,lamar-institute-of-technology,Radiologic Technician,28
texas,lamar-institute-of-technology,Dental Hygiene,24
texas,lamar-institute-of-technology,Emergency Medical Technician (EMT Paramedic),21
texas,sam-houston-state-university,Criminal Justice and Safety Studies,837
texas,sam-houston-state-university,Liberal Arts and Humanities,430
texas,sam-houston-state-university,Business,400
texas,sam-houston-state-university,Psychology,215
texas,sam-houston-state-university,Communications,194
texas,sam-houston-state-university,Kinesiology and Exercise Science,177
texas,sam-houston-state-university,Accounting,137
texas,sam-houston-state-university,History,123
texas,sam-houston-state-university,Public Health,123
texas,sam-houston-state-university,Nursing,116
texas,university-of-the-incarnate-word,Business,234
texas,university-of-the-incarnate-word,Nursing,105
texas,university-of-the-incarnate-word,Health Service Preparatory Studies,101
texas,university-of-the-incarnate-word,Biology,99
texas,university-of-the-incarnate-word,Psychology,85
texas,university-of-the-incarnate-word,Accounting,68
texas,university-of-the-incarnate-word,Human Resources,50
texas,university-of-the-incarnate-word,Elementary Education,46
texas,university-of-the-incarnate-word,Marketing,46
texas,university-of-the-incarnate-word,Management Sciences and Information Systems,45
