State,College,Major,Students
vermont,middlebury-college,Economics,106
vermont,middlebury-college,Computer Science,55
vermont,middlebury-college,Neuroscience and Neurobiology,47
vermont,middlebury-college,Political Science and Government,47
vermont,middlebury-college,Environmental Science,41
vermont,middlebury-college,Biochemistry and Molecular Biology,35
vermont,middlebury-college,English,33
vermont,middlebury-college,International Relations,33
vermont,middlebury-college,Psychology,29
vermont,middlebury-college,Biology,23
vermont,university-of-vermont,Business,264
vermont,university-of-vermont,Environmental Science,198
vermont,university-of-vermont,Psychology,133
vermont,university-of-vermont,Economics,105
vermont,university-of-vermont,Biology,99
vermont,university-of-vermont,Nursing,96
vermont,university-of-vermont,Computer Science,88
vermont,university-of-vermont,Political Science and Government,86
vermont,university-of-vermont,Public Relations,86
vermont,university-of-vermont,Mechanical Engineering,85
