State,College,Major,Students
west-virginia,west-virginia-university,Liberal Arts and Humanities,562
west-virginia,west-virginia-university,Journalism,226
west-virginia,west-virginia-university,Mechanical Engineering,212
west-virginia,west-virginia-university,Nursing,199
west-virginia,west-virginia-university,Sociology,180
west-virginia,west-virginia-university,Physical Education Teaching and Coaching,174
west-virginia,west-virginia-university,Business,160
west-virginia,west-virginia-university,Psychology,156
west-virginia,west-virginia-university,Biology,128
west-virginia,west-virginia-university,Exercise Physiology,126
west-virginia,university-of-charleston,Business,259
west-virginia,university-of-charleston,Nursing,69
west-virginia,university-of-charleston,Biology,24
west-virginia,university-of-charleston,Radiation Therapy,24
west-virginia,university-of-charleston,Occupational Therapist Assistant,23
west-virginia,university-of-charleston,Accounting,14
west-virginia,university-of-charleston,Graphic Communications,14
west-virginia,university-of-charleston,Psychology,13
west-virginia,university-of-charleston,Political Science and Government,12
west-virginia,university-of-charleston,Elementary Education,7
west-virginia,west-virginia-university-institute-of-technology,Liberal Arts and Humanities,30
west-virginia,west-virginia-university-institute-of-technology,Mechanical Engineering,21
west-virginia,west-virginia-university-institute-of-technology,Biology,17
west-virginia,west-virginia-university-institute-of-technology,Civil Engineering,12
west-virginia,west-virginia-university-institute-of-technology,Chemical Engineering,9
west-virginia,west-virginia-university-institute-of-technology,Forensic Science and Technology,9
west-virginia,west-virginia-university-institute-of-technology,Psychology,9
west-virginia,west-virginia-university-institute-of-technology,Information Science,8
west-virginia,west-virginia-university-institute-of-technology,Electrical Engineering,7
west-virginia,west-virginia-university-institute-of-technology,Accounting,6
west-virginia,west-virginia-wesleyan-college,Kinesiology and Exercise Science,21
west-virginia,west-virginia-wesleyan-college,Biology,16
west-virginia,west-virginia-wesleyan-college,Physics,16
west-virginia,west-virginia-wesleyan-college,Business,15
west-virginia,west-virginia-wesleyan-college,Nursing,15
west-virginia,west-virginia-wesleyan-college,Accounting,14
west-virginia,west-virginia-wesleyan-college,Criminal Justice and Safety Studies,14
west-virginia,west-virginia-wesleyan-college,Psychology,14
west-virginia,west-virginia-wesleyan-college,Chemistry,13
west-virginia,west-virginia-wesleyan-college,Marketing,12
west-virginia,marshall-university,Liberal Arts and Humanities,224
west-virginia,marshall-university,Nursing,215
west-virginia,marshall-university,Psychology,120
west-virginia,marshall-university,Health Service Preparatory Studies,102
west-virginia,marshall-university,Business,97
west-virginia,marshall-university,Biology,88
west-virginia,marshall-university,Elementary Education,63
west-virginia,marshall-university,Criminal Justice and Safety Studies,59
west-virginia,marshall-university,Marketing,57
west-virginia,marshall-university,Accounting,52
west-virginia,wheeling-university,Business,28
west-virginia,wheeling-university,Nursing,26
west-virginia,wheeling-university,Psychology,15
west-virginia,wheeling-university,Athletic Training,12
west-virginia,wheeling-university,Criminal Justice and Safety Studies,12
west-virginia,wheeling-university,High School Education,12
west-virginia,wheeling-university,Biology,10
west-virginia,wheeling-university,Education,9
west-virginia,wheeling-university,Accounting,7
west-virginia,wheeling-university,Corporate Communications,7
west-virginia,west-liberty-university,Dental Hygiene,76
west-virginia,west-liberty-university,Business,57
west-virginia,west-liberty-university,Liberal Arts and Humanities,48
west-virginia,west-liberty-university,Nursing,35
west-virginia,west-liberty-university,Biology,34
west-virginia,west-liberty-university,High School Education,28
west-virginia,west-liberty-university,Elementary Education,27
west-virginia,west-liberty-university,Kinesiology and Exercise Science,26
west-virginia,west-liberty-university,Communication Disorders,14
west-virginia,west-liberty-university,Criminal Justice and Safety Studies,13
