State,College,Major,Students
wyoming,university-of-wyoming,Nursing,133
wyoming,university-of-wyoming,Psychology,122
wyoming,university-of-wyoming,Elementary Education,108
wyoming,university-of-wyoming,Mining and Petroleum Engineering,98
wyoming,university-of-wyoming,Management Sciences and Information Systems,89
wyoming,university-of-wyoming,Criminal Justice and Safety Studies,85
wyoming,university-of-wyoming,Kinesiology and Exercise Science,74
wyoming,university-of-wyoming,Mechanical Engineering,74
wyoming,university-of-wyoming,Marketing,64
wyoming,university-of-wyoming,Business,63
